locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,LexA,link
PA2288,0.166252381,PA2288,,hypothetical protein,No COG annotation,LexA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2288&e1=1&assembly=complete
PA0671,0.15376789,PA0671,,hypothetical protein,Function unknown,LexA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0671&e1=1&assembly=complete
PA0069,0.145367558,PA0069,,hypothetical protein,"Replication, recombination and repair",LexA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0069&e1=1&assembly=complete
PA3008,0.130407892,PA3008,,cell division inhibitor SulA,"Cell cycle control, cell division, chromosome partitioning",LexA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3008&e1=1&assembly=complete
PA3007,0.11607313300000001,lexA,,LexA repressor,Transcription,LexA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3007&e1=1&assembly=complete
PA4763,0.11466136700000001,recN,,DNA repair protein RecN,"Replication, recombination and repair",LexA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4763&e1=1&assembly=complete
PA0922,0.10658837900000001,PA0922,,hypothetical protein,No COG annotation,LexA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0922&e1=1&assembly=complete
PA3617,0.095602635,recA,,recombinase A,"Replication, recombination and repair",LexA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3617&e1=1&assembly=complete
PA0610,0.09068759200000001,prtN,,transcriptional regulator PrtN,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0610&e1=1&assembly=complete
PA0670,0.08765515900000001,PA0670,,hypothetical protein,"Replication, recombination and repair",LexA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0670&e1=1&assembly=complete
PA3616,0.087465711,PA3616,,recombination regulator RecX,Function unknown,LexA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3616&e1=1&assembly=complete
PA3414,0.08641376,PA3414,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3414&e1=1&assembly=complete
PA5530,0.07788044300000001,PA5530,,MFS dicarboxylate transporter,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5530&e1=1&assembly=complete
PA3413,0.067576258,PA3413,,hypothetical protein,Function unknown,"LexA,LexA",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3413&e1=1&assembly=complete
PA1150,0.065924698,pys2,,pyocin-S2,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1150&e1=1&assembly=complete
PA1466,0.06391630100000001,PA1466,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1466&e1=1&assembly=complete
PA2085,-0.06770363900000001,PA2085,,ring-hydroxylating dioxygenase small subunit,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2085&e1=1&assembly=complete
