locus,gene_weight,gene_name,gene_product,cog,regulator,AmiE,link
PA2112,0.3041583057,PA2112,hypothetical protein,Function unknown,AmiE,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2112&e1=1&assembly=complete
PA2113,0.2956731703,opdO,pyroglutatmate porin OpdO,Function unknown,AmiE,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2113&e1=1&assembly=complete
PA2114,0.2877710446,PA2114,major facilitator superfamily transporter,Amino acid transport and metabolism,AmiE,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2114&e1=1&assembly=complete
PA2110,0.28282708030000003,PA2110,hypothetical protein,Amino acid transport and metabolism,AmiE,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2110&e1=1&assembly=complete
PA2116,0.2796530888,PA2116,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2116&e1=1&assembly=complete
PA0049,0.24897093820000002,PA0049,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0049&e1=1&assembly=complete
PA2111,0.2274279146,PA2111,hypothetical protein,Amino acid transport and metabolism,AmiE,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2111&e1=1&assembly=complete
PA2109,0.1975510342,PA2109,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2109&e1=1&assembly=complete
PA0048,0.1512961421,PA0048,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0048&e1=1&assembly=complete
PA2117,0.13780206750000001,PA2117,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2117&e1=1&assembly=complete
PA2115,0.09300401750000001,PA2115,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2115&e1=1&assembly=complete
