locus,gene_weight,gene_name,gene_product,COG,operon,regulator,ryhB,link
b2531,0.280913173,iscR,DNA-binding transcriptional dual regulator IscR,Transcription,iscRSUA,"RpoD,ryhB,YidZ,IscR,fnrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7326
b2530,0.2798549665,iscS,cysteine desulfurase,Amino acid transport and metabolism,iscRSUA,"RpoD,ryhB,IscR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7325
b2529,0.2523688785,iscU,scaffold protein for iron-sulfur cluster assembly,Energy production and conversion,iscRSUA,"RpoD,ryhB,IscR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7324
b2527,0.240732097,hscB,co-chaperone for [Fe-S] cluster biosynthesis,"Post-translational modification, protein turnover,and chaperones",hscBA-fdx-iscX,"RpoD,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12131
b2528,0.2387050882,iscA,iron-sulfur cluster insertion protein IscA,Function unknown,iscRSUA,"RpoD,ryhB,IscR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12132
b2525,0.17929286600000002,fdx,reduced ferredoxin,Energy production and conversion,hscBA-fdx-iscX,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11328
b2526,0.1754926473,hscA,iron-sulfur cluster biosynthesis chaperone HscA,"Post-translational modification, protein turnover,and chaperones",hscBA-fdx-iscX,"RpoD,YbiH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12130
b2524,0.16691648750000002,iscX,accessory iron-sulfur cluster assembly protein IscX,Function unknown,hscBA-fdx-iscX,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12311
b2523,0.13853741420000001,pepB,aminopeptidase B,Amino acid transport and metabolism,pepB,ryhB,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12310
b3414,0.1378382092,nfuA,iron-sulfur cluster carrier protein NfuA,"Post-translational modification, protein turnover,and chaperones",yhgH-nfuA,"RpoD,RpoH,GntR,Crp,IscR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7748
b2522,0.1367152059,sseB,protein SseB,Function unknown,sseB,"ryfA,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11601
