locus,gene_weight,gene_name,gene_product,COG,operon,regulator,NagC,link
b0678,0.40310669,nagB,glucosamine-6-phosphate deaminase,Nucleotide transport and metabolism,nagBAC-umpH,"RpoD,Crp,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10633
b1498,0.35787477230000003,ydeN,putative sulfatase,Inorganic ion transport and metabolism,ydeNM,"RpoD,GadX,AraC,NagC,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6788
b0679,0.3383696605,nagE,N-acetylglucosamine specific PTS enzyme IIABC component,Carbohydrate transport and metabolism,nagE,"RpoD,Crp,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10635
b0677,0.2839367887,nagA,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,nagBAC-umpH,"RpoD,Crp,PhoP,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10632
b1497,0.239638331,ydeM,putative anaerobic sulfatase maturation enzyme YdeM,Energy production and conversion,ydeNM,"RpoD,GadX,AraC,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6787
b0681,0.19251742360000001,chiP,chitobiose outer membrane channel,Cell wall/membrane/envelope biogenesis,chiPQ,"Crp,NagC,ChiX",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6370
b2943,0.1388393526,galP,galactose:H(+) symporter,Amino acid transport and metabolism,galP,"RpoD,Crp,OmpR,NagC,GalR,GalS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12148
b0676,0.10787608080000001,nagC,DNA-binding transcriptional dual regulator NagC,Transcription,nagBAC-umpH,"RpoD,Crp,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10636
b1634,0.10265699800000001,dtpA,dipeptide/tripeptide:H(+) symporter DtpA,"Intracellular trafficking, secretion, and vesicular transport",dtpA,"RpoD,YfeC,YdcI,GadX,OmpR,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6877
b1738,0.0914952272,chbB,N%2CN'-diacetylchitobiose-specific PTS enzyme IIB component,Carbohydrate transport and metabolism,chbBCARFG,"YfeC,Crp,ChbR,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10140
b1737,0.0819337049,chbC,N%2CN'-diacetylchitobiose-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,chbBCARFG,"Crp,ChbR,NagC,ChiX",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10141
b3919,-0.0855144677,tpiA,triose-phosphate isomerase,Nucleotide transport and metabolism,tpiA,"RpoD,RpoS,Cra",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11015
b3730,-0.0946421441,glmU,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,Cell wall/membrane/envelope biogenesis,glmUS,"RpoD,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11198
b3729,-0.1269326395,glmS,L-glutamine--D-fructose-6-phosphate aminotransferase,Cell wall/membrane/envelope biogenesis,glmUS,"RpoD,glmZ,glmY,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10382
