locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GlpR,link
b2241,0.4058460343,glpA,anaerobic glycerol-3-phosphate dehydrogenase subunit A,Energy production and conversion,glpABC,"RpoD,YihW,Fis,FlhDC,ArcA,Fnr,Crp,ppGpp,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10391
b2242,0.3762387323,glpB,anaerobic glycerol-3-phosphate dehydrogenase subunit B,Energy production and conversion,glpABC,"RpoD,Fis,FlhDC,ArcA,Fnr,Crp,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10392
b3426,0.366081303,glpD,aerobic glycerol 3-phosphate dehydrogenase,Energy production and conversion,glpD,"RpoD,ArcA,Crp,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10394
b2243,0.3525010156,glpC,anaerobic glycerol-3-phosphate dehydrogenase subunit C,Energy production and conversion,glpABC,"RpoD,Fis,FlhDC,ArcA,Fnr,Crp,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10393
b3927,0.3264802846,glpF,glycerol facilitator,Carbohydrate transport and metabolism,glpFKX,"RpoD,Crp,GlpR,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10396
b2240,0.3165869167,glpT,sn-glycerol 3-phosphate:phosphate antiporter,Inorganic ion transport and metabolism,glpTQ,"RpoD,Fis,Fnr,Crp,IHF,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10401
b3926,0.3096127811,glpK,glycerol kinase,Nucleotide transport and metabolism,glpFKX,"RpoD,Crp,GlpR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10398
b2239,0.22352148870000002,glpQ,glycerophosphoryl diester phosphodiesterase,Energy production and conversion,glpTQ,"RpoD,RpoN,Fis,Fnr,Crp,IHF,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10399
b3925,0.0759334977,glpX,fructose-1%2C6-bisphosphatase 2,Carbohydrate transport and metabolism,glpFKX,"RpoD,Crp,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11517
b3425,0.0414474207,glpE,thiosulfate sulfurtransferase GlpE,Inorganic ion transport and metabolism,glpEGR,"Crp,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10395
