locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CsgD,Fnr,link
b4128,0.17945969990000002,ghoS,antitoxin of the GhoTS toxin-antitoxin system,No COG annotation,ghoST,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7830
b3573,0.1772303016,ysaA,putative electron transport protein YsaA,Energy production and conversion,ysaA,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12277
b3060,0.15918247200000002,ttdR,DNA-binding transcriptional activator Dan,Transcription,ttdR,"TtdR,GlaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12694
b4756,0.1385710006,yqiD,protein YqiD,Function unknown,,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16750
b2966,0.1326329679,yqgA,DUF554 domain-containing protein YqgA,Function unknown,yqgA,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7534
b0715,0.1278690882,abrB,putative regulator,Function unknown,abrB,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6384
b0919,0.1254650696,ycbJ,putative phosphotransferase YcbJ,Function unknown,ycbJ,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6473
b1674,0.1085982452,ydhY,putative 4Fe-4S ferredoxin-type protein,Energy production and conversion,ydhYVWXUT,"RpoS,NarL,NarP,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6902
b2181,0.10642739250000001,yejG,protein YejG,Function unknown,yejG,"Nac,ArcA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12042
b2292,0.1026149328,yfbS,putative transporter YfbS,Inorganic ion transport and metabolism,yfbS,YcjW,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7186
b0007,0.10169887700000001,yaaJ,putative transporter YaaJ,Amino acid transport and metabolism,yaaJ,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11555
b0836,0.1015269735,bssR,regulator of biofilm formation,Function unknown,bssR,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6436
b3746,0.0993339481,ravA,regulatory ATPase RavA,Function unknown,ravA-viaA,"RpoS,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11731
b0621,0.09893360670000001,dcuC,anaerobic C4-dicarboxylate transporter DcuC,Inorganic ion transport and metabolism,dcuC,"YeiE,Fnr,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6347
b2111,0.0988216283,yehD,putative fimbrial protein YehD,Cell motility,yehDCBA,GlaR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11990
b4364,0.0953187279,yjjP,putative succinate exporter YjjP,Function unknown,yjjP,"H-NS,GlaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7946
b1004,0.0927243632,wrbA,NAD(P)H:quinone oxidoreductase,Function unknown,wrbA-yccJ,"oxyS,YdcI,RpoS,ppGpp,CsgD,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11540
