locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Nac,link
b1988,0.4135547251,nac,DNA-binding transcriptional dual regulator Nac,Transcription,nac,"RpoN,Fur,Fnr,NtrC,ppGpp,Nac,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7072
b1932,0.2163019119,yedL,putative acetyltransferase YedL,Transcription,yedL,Nac,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7040
b1440,0.1532772744,ydcS,putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b1441,0.1485825288,ydcT,putative ABC transporter ATP-binding protein YdcT,Inorganic ion transport and metabolism,ydcSTUV-patD,"YeiE,RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6752
b1443,0.12762035330000002,ydcV,putative ABC transporter membrane subunit YdcV,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6754
b1444,0.1271261432,patD,gamma-aminobutyraldehyde dehydrogenase,Energy production and conversion,ydcSTUV-patD,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6755
b1442,0.12676579840000002,ydcU,putative ABC transporter membrane subunit YdcU,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6753
b3225,0.12264371900000001,nanA,N-acetylneuraminate lyase,Coenzyme transport and metabolism,nanATEK-yhcH,"RpoD,Fis,Crp,NanR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10637
b1339,0.11870752470000001,abgR,putative LysR-type DNA-binding transcriptional regulator AbgR,Transcription,abgR,"YfeC,Crp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6671
b2883,0.118083243,guaD,guanine deaminase,Nucleotide transport and metabolism,xanQ-guaD-ghxQ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7502
b4208,0.1122328181,cycA,serine/alanine/glycine/cycloserine:H(+)symporter,Amino acid transport and metabolism,cycA,"gcvB,Lrp,Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12504
b1384,0.1018230826,feaR,DNA-binding transcriptional activator FeaR,Transcription,feaR,"QseB,RpoD,Crp,NsrR,Nac,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6706
b2663,0.0993235044,gabP,4-aminobutyrate:H(+) symporter,Amino acid transport and metabolism,csiD-lhgO-gabDTP,"RpoD,YddM,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11330
