locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
b3629,0.20495800700000003,waaS,lipopolysaccharide core biosynthesis protein,Cell wall/membrane/envelope biogenesis,rirA-waaQGPSBOJYZU,RpoD,https://ecocyc.org/gene?orgid=ECOLI&id=EG11350
b2032,0.1753776535,wbbK,putative lipopolysaccharide biosynthesis protein,Cell wall/membrane/envelope biogenesis,wbbIJK,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11985
b3623,0.1627376694,waaU,putative ADP-heptose:LPS heptosyltransferase 4,Cell wall/membrane/envelope biogenesis,rirA-waaQGPSBOJYZU,RpoD,https://ecocyc.org/gene?orgid=ECOLI&id=EG11423
b2352,0.1499184057,yfdI,CPS-53 (KpLE1) prophage%3B serotype specific glucosyl transferase,No COG annotation,yfdGHI,,https://ecocyc.org/gene?orgid=ECOLI&id=G7221
b0564,0.1496390624,appY,DNA-binding transcriptional activator AppY,Transcription,appY,"RpoD,RpoS,ArcA,DpiA,H-NS",https://ecocyc.org/gene?orgid=ECOLI&id=EG10050
b2035,0.14474922040000002,wbbH,putative O-antigen polymerase,RNA processing and modification,glf-wbbH,"gcvB,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG11982
b1550,0.1295589768,gnsB,Qin prophage%3B protein GnsB,Function unknown,gnsB,,https://ecocyc.org/gene?orgid=ECOLI&id=G6823
b3624,0.1265112539,waaZ,lipopolysaccharide core biosynthesis protein WaaZ,"Translation, ribosomal structure and biogenesis",rirA-waaQGPSBOJYZU,"RpoD,MarA,SoxS",https://ecocyc.org/gene?orgid=ECOLI&id=EG11426
b3622,0.12478198380000001,waaL,O-antigen ligase,Cell wall/membrane/envelope biogenesis,rfaD-waaFCL,"RpoD,RpoH,RpoE",https://ecocyc.org/gene?orgid=ECOLI&id=EG11424
b3626,0.1239689519,waaJ,UDP-glucose:(glucosyl)LPS alpha-1%2C2-glucosyltransferase,Cell wall/membrane/envelope biogenesis,rirA-waaQGPSBOJYZU,RpoD,https://ecocyc.org/gene?orgid=ECOLI&id=EG11353
b3512,0.1186298771,gadE,DNA-binding transcriptional activator GadE,Transcription,gadEF-mdtEF,"PhoP,RpoD,RpoS,GadW,YdeO,Crp,ArcA,EvgA,H-NS,GadX,FliZ,GadE,Nac,ppGpp,ArrS",https://ecocyc.org/gene?orgid=ECOLI&id=EG11544
b2642,0.11827751930000001,yfjW,CP4-57 prophage%3B uncharacterized protein YfjW,No COG annotation,yfjW,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G7377
b3625,0.1143144703,waaY,lipopolysaccharide core heptose (II) kinase,Signal transduction mechanisms,rirA-waaQGPSBOJYZU,"RpoD,MarA,SoxS",https://ecocyc.org/gene?orgid=ECOLI&id=EG11425
