locus,gene_weight,gene_name,gene_product,cog,operon,regulator,BenR,link
PP_3162,0.2592000505258936,benB,benzoate 1%2C2-dioxygenase subunit beta,"Secondary metabolites biosynthesis, transport, and catabolism",Op2053,"TurA,BenR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3162&e1=1&assembly=complete
PP_3163,0.2422193912594311,benC,benzoate 1%2C2-dioxygenase electron transfer component,Energy production and conversion,Op2053,BenR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3163&e1=1&assembly=complete
PP_3166,0.2307625819879666,catA-II,catechol 1%2C2-dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2054,Crc,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3166&e1=1&assembly=complete
PP_3164,0.2286050183364702,benD,1%2C6-dihydroxycyclohexa-2%2C4-diene-1-carboxylate dehydrogenase,Lipid transport and metabolism,Op2053,BenR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3164&e1=1&assembly=complete
PP_3161,0.2257799459062349,benA,benzoate 1%2C2-dioxygenase subunit alpha,Inorganic ion transport and metabolism,Op2053,BenR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3161&e1=1&assembly=complete
PP_3165,0.170872666802498,benK,benzoate MFS transporter,Amino acid transport and metabolism,Op2054,"TurA,GacA",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3165&e1=1&assembly=complete
PP_3714,0.1572874230465502,catC,Muconolactone Delta-isomerase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2436,CatR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3714&e1=1&assembly=complete
PP_3713,0.1459729536267839,catA-I,catechol 1%2C2-dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2436,"CatR,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3713&e1=1&assembly=complete
PP_3167,0.1445424017249806,benE-II,benzoate transport protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op2055,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3167&e1=1&assembly=complete
PP_3715,0.1389278906473728,catB,Muconate cycloisomerase 1,Cell wall/membrane/envelope biogenesis,Op2436,CatR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3715&e1=1&assembly=complete
