locus,gene_weight,gene_name,gene_product,cog,regulator,NagQ,GbuR,link
PA3758,0.2484375204,PA3758,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,NagQ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3758&e1=1&assembly=complete
PA3759,0.2397917973,PA3759,aminotransferase,Cell wall/membrane/envelope biogenesis,NagQ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3759&e1=1&assembly=complete
PA3757,0.23769335160000002,PA3757,transcriptional regulator,Transcription,NagQ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3757&e1=1&assembly=complete
PA4980,0.23668919940000002,PA4980,enoyl-CoA hydratase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4980&e1=1&assembly=complete
PA3760,0.2366332944,PA3760,N-acetyl-D-glucosamine phosphotransferase system transporter,Carbohydrate transport and metabolism,NagQ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3760&e1=1&assembly=complete
PA3761,0.2237093917,PA3761,N-acetyl-D-glucosamine phosphotransferase system transporter,Carbohydrate transport and metabolism,NagQ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3761&e1=1&assembly=complete
PA4979,0.218067441,PA4979,acyl-CoA dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4979&e1=1&assembly=complete
PA4978,0.2098076626,PA4978,hypothetical protein,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4978&e1=1&assembly=complete
PA4977,0.1614437433,aruI,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4977&e1=1&assembly=complete
PA4976,0.14637379450000002,aruH,arginine:pyruvate transaminase AruH,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4976&e1=1&assembly=complete
PA4981,0.1338441968,PA4981,amino acid permease,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4981&e1=1&assembly=complete
PA4975,0.1091701082,PA4975,NAD(P)H quinone oxidoreductase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4975&e1=1&assembly=complete
PA1421,0.0865628453,gbuA,guanidinobutyrase,Amino acid transport and metabolism,GbuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1421&e1=1&assembly=complete
PA1418,0.07601138090000001,PA1418,sodium:solute symport protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1418&e1=1&assembly=complete
PA4983,0.0703463136,PA4983,two-component response regulator,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4983&e1=1&assembly=complete
PA4982,0.0673694587,PA4982,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4982&e1=1&assembly=complete
PA2252,0.0663775075,PA2252,AGCS sodium/alanine/glycine symporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2252&e1=1&assembly=complete
