locus,gene_weight,gene_name,gene_product,cog,operon,regulator,NarL,Fnr,link
b1224,0.3804384561,narG,nitrate reductase A subunit alpha,Energy production and conversion,narGHJI,"RpoD,YcjW,RstA,Fis,IHF,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10638
b1226,0.3644084011,narJ,nitrate reductase 1 molybdenum cofactor assembly chaperone,Energy production and conversion,narGHJI,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10641
b1227,0.3637308722,narI,nitrate reductase A subunit gamma,Energy production and conversion,narGHJI,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10640
b1225,0.3606163504,narH,nitrate reductase A subunit beta,Energy production and conversion,narGHJI,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10639
b1223,0.3267288483,narK,nitrate:nitrite antiporter NarK,Inorganic ion transport and metabolism,narK,"RpoD,Fis,IHF,NarL,Fnr,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10642
b1474,0.11780668820000001,fdnG,formate dehydrogenase N subunit alpha,Energy production and conversion,fdnGHI,"RpoD,NarP,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11227
b3365,0.1015732325,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b3367,0.0954094358,nirC,nitrite transporter NirC,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10654
b1475,0.08739274720000001,fdnH,formate dehydrogenase N subunit beta,Energy production and conversion,fdnGHI,"RpoD,NarP,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11228
b3366,0.0826082209,nirD,nitrite reductase subunit NirD,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b1476,0.0671904256,fdnI,formate dehydrogenase N subunit gamma,Energy production and conversion,fdnGHI,"RpoD,NarP,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11229
b1587,-0.06980478600000001,ynfE,putative selenate reductase YnfE,Energy production and conversion,ynfEFGH-dmsD,"RpoD,RpoS,NarL,Fnr,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6845
b1256,-0.0729903352,ompW,outer membrane protein W,Cell wall/membrane/envelope biogenesis,ompW,"rybB,Crp,ArcA,NarL,Fnr,SoxS,Fur,micA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11124
