locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Fur,link
b2155,0.2475341358,cirA,ferric dihyroxybenzoylserine outer membrane transporter,Inorganic ion transport and metabolism,cirA,"RpoD,omrB,omrA,Crp,Fur,Hfq,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10155
b0584,0.2474705824,fepA,ferric enterobactin outer membrane transporter,Inorganic ion transport and metabolism,fepA-entD,"RpoD,omrA,YfeD,Crp,Fur,omrB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10293
b0805,0.24503246450000002,fiu,putative iron siderophore outer membrane transporter,Inorganic ion transport and metabolism,fiu,"RpoD,Crp,Fur,rybB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6414
b0586,0.20648846,entF,apo-serine activating enzyme,"Secondary metabolites biosynthesis, transport, and catabolism",fes-ybdZ-entF-fepE,"RpoD,YbaQ,Fnr,H-NS,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10264
b0585,0.1975100707,fes,enterochelin esterase,Inorganic ion transport and metabolism,fes-ybdZ-entF-fepE,"RpoD,Fnr,H-NS,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10299
b0594,0.17352110810000002,entE,2%2C3-dihydroxybenzoate-AMP ligase,"Secondary metabolites biosynthesis, transport, and catabolism",entCEBAH,"RpoD,ryhB,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10263
b0595,0.17276417130000002,entB,enterobactin synthase component B,"Secondary metabolites biosynthesis, transport, and catabolism",entCEBAH,"RpoD,ryhB,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10260
b0804,0.1693817709,ybiX,PKHD-type hydroxylase YbiX,Function unknown,ybiX,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6413
b0583,0.1691324139,entD,phosphopantetheinyl transferase EntD,Coenzyme transport and metabolism,fepA-entD,"RpoD,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10262
b0593,0.1662986351,entC,isochorismate synthase EntC,Coenzyme transport and metabolism,entCEBAH,"RpoD,ryhB,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10261
b1102,0.1644377557,fhuE,ferric coprogen/ferric rhodotorulic acid outer membrane transporter,Inorganic ion transport and metabolism,fhuE,"Fur,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10306
b4511,0.16134887250000002,ybdZ,enterobactin biosynthesis protein YbdZ,Function unknown,fes-ybdZ-entF-fepE,"RpoD,H-NS,Fnr,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10437
b0596,0.1559650609,entA,2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase,Lipid transport and metabolism,entCEBAH,"RpoD,ryhB,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10259
b0597,0.1495448332,entH,proofreading thioesterase in enterobactin biosynthesis,"Secondary metabolites biosynthesis, transport, and catabolism",entCEBAH,"RpoD,ryhB,Crp,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11105
b2676,0.1248043902,nrdF,ribonucleoside-diphosphate reductase 2 subunit beta,Nucleotide transport and metabolism,nrdHIEF,"RpoD,IscR,Fur,ppGpp,NrdR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12381
b4567,0.12040147970000001,yjjZ,protein YjjZ,Function unknown,yjjZ,"RpoD,ppGpp,OxyR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10474
b2675,0.119478124,nrdE,ribonucleoside-diphosphate reductase 2 subunit alpha,Nucleotide transport and metabolism,nrdHIEF,"RpoD,IscR,Fur,ppGpp,NrdR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20257
b2674,0.1150324159,nrdI,dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI,Nucleotide transport and metabolism,nrdHIEF,"RpoD,YidZ,IscR,Fur,ppGpp,NrdR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7402
b0591,0.10713698910000001,entS,enterobactin exporter EntS,Amino acid transport and metabolism,entS,"RpoD,YdhB,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11104
b1705,0.1061525875,ydiE,PF10636 family protein YdiE,Inorganic ion transport and metabolism,ydiE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12391
b1452,0.1049349375,yncE,PQQ-like domain-containing protein YncE,Function unknown,yncE,"MarA,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6763
b2673,0.1043283743,nrdH,glutaredoxin-like protein,"Post-translational modification, protein turnover,and chaperones",nrdHIEF,"RpoD,YedW,IscR,Fur,ppGpp,NrdR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7401
b0588,0.1033352285,fepC,ferric enterobactin ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,fepDGC,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10295
b0589,0.0960844716,fepG,ferric enterobactin ABC transporter membrane subunit FepG,Inorganic ion transport and metabolism,fepDGC,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10298
b0590,0.0896797585,fepD,ferric enterobactin ABC transporter membrane subunit FebD,Inorganic ion transport and metabolism,fepDGC,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10296
b1681,0.0860804647,sufD,Fe-S cluster scaffold complex subunit SufD,"Post-translational modification, protein turnover,and chaperones",sufABCDSE,"RpoD,NsrR,IscR,IHF,OxyR,Fur,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6907
b0592,0.0852274187,fepB,ferric enterobactin ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,fepB,"RpoD,RutR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10294
b1679,0.0840601851,sufE,sulfur acceptor for SufS cysteine desulfurase,Function unknown,sufABCDSE,"RpoD,NsrR,IHF,IscR,OxyR,Fur,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6905
b4292,0.0826803411,fecR,regulator for fec operon%2C periplasmic,Inorganic ion transport and metabolism,fecIR,"RpoD,SlyA,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10292
b1684,0.0822508752,sufA,iron-sulfur cluster insertion protein SufA,Function unknown,sufABCDSE,"RpoD,NsrR,ppGpp,IHF,IscR,OxyR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11378
b1683,0.081173255,sufB,Fe-S cluster scaffold complex subunit SufB,"Post-translational modification, protein turnover,and chaperones",sufABCDSE,"RpoD,NsrR,ppGpp,IHF,IscR,OxyR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6909
b1680,0.0809211122,sufS,L-cysteine desulfurase,Coenzyme transport and metabolism,sufABCDSE,"RpoD,NsrR,IscR,IHF,OxyR,Fur,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6906
b1682,0.08051923600000001,sufC,Fe-S cluster scaffold complex subunit SufC,Inorganic ion transport and metabolism,sufABCDSE,"RpoD,NsrR,IHF,IscR,OxyR,Fur,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6908
b1495,0.07804455710000001,yddB,putative TonB-dependent receptor,Inorganic ion transport and metabolism,yddAB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11743
