locus,comp,gene_name,product,operon,TF,rpoS,link
b0897,0.147241062744,ycaC,predicted hydrolase,ycaC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11241
b3555,0.140868777654,yiaG,predicted transcriptional regulator,yiaG,"arcA, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12624
b2672,0.131367017601,ygaM,putative protein,ygaM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7400
b4149,0.118562192709,blc,outer membrane lipoprotein (lipocalin),blc,rpoS,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7837
b0871,0.116617665505,poxB,pyruvate oxidase,hcp-hcr-poxB-ltaE-ybjT,"cra, fnr, marA, narL, narP, nsrR, oxyR, rpoD, rpoS, soxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10754
b0329,0.113486548657,yahO,putative protein,yahO,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6194
b0790,0.11265073853,ybhP,predicted DNase,ybhP-clsB-ybhN,lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6407
b1732,0.11203394485099999,katE,catalase II,katE,"fis, fur, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10509
b1897,0.10972230584100001,otsB,trehalose-6-phosphate phosphatase,otsBA,rpoS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11752
b2302,0.10921333401200001,yfcG,disulfide reductase,yfcG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7194
b4376,0.108870665675,osmY,"periplasmic chaperone, osmotically induced",osmY,"arcA, crp, fis, fliZ, ihf, lrp, rpoD, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11391
b1188,0.10743867501900001,ycgB,conserved protein,ycgB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11516
b1195,0.10697984036399999,ymgE,predicted inner membrane protein,ymgE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6624
b0789,0.106070322291,clsB,cardiolipin synthase 2,ybhP-clsB-ybhN,lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6406
b2266,0.104045537754,elaB,conserved protein,elaB,rpoS,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7173
b2465,0.10286535161,tktB,transketolase II,talA-tktB,"phoB, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12100
b2464,0.10214005388,talA,transaldolase A,talA-tktB,"creB, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11797
b1051,0.09897486698210001,msyB,acidic protein that suppresses heat sensitivity of a <i>secY</i> mutant,msyB,rpoS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11338
b1783,0.09736598286289999,yeaG,protein kinase,yeaGH,"ntrC, rpoN",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6969
b1836,0.0973202660698,yebV,putative protein,yebV,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7009
b2131,0.09572405306060001,osmF,glycine betaine ABC transporter - periplasmic binding protein,osmF-yehYXW,"rpoH, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12012
b3447,0.094700556138,ggt,&gamma;-glutamyltranspeptidase,ggt,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10374
b1784,0.093774011878,yeaH,conserved protein,yeaGH,"ntrC, rpoN",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6970
b1896,0.0927472003145,otsA,trehalose-6-phosphate synthase,otsBA,"rpoS, ybaQ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11751
b4269,0.092482743132,ahr,"aldehyde reductase, NADPH-dependent",ahr,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11436
b2080,0.0924152903085,yegP,putative protein,yegP,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7117
b4411,0.0922945108034,ecnB,bacteriolytic entericidin B lipoprotein,ecnAB,"nac, ompR, rpoS, ybaQ",True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-9562
b1668,0.09060031330610001,ydhS,conserved protein with FAD/NAD(P)-binding domain,ydhS,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6896
b0707,0.09008729108989999,ybgA,conserved protein,ybgA-phr,rpoS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11108
b1004,0.0898041707057,wrbA,NAD(P)H:quinone oxidoreductase,wrbA-yccJ,"csgD, nac, rpoS, ydcI",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11540
b3003,0.08690249195979999,yghA,NADP<sup>+</sup>-dependent aldehyde reductase,yghA,fnr,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11292
b3073,0.08580414028560003,patA,putrescine aminotransferase,patA,"fis, ihf, lrp, ntrC, rpoN, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7596
b0581,0.08412114541719999,ybdK,carboxylate-amine ligase,ybdK,nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6326
b3336,0.0838334138061,bfr,bacterioferritin,bfd-bfr,nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10113
b4568,0.08364231146130001,ytjA,putative protein,ytjA,crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10475
b1478,0.08361917253619999,adhP,ethanol dehydrogenase / alcohol dehydrogenase,adhP,fur,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6775
b2130,0.081436566342,yehY,glycine betaine ABC transporter - putative membrane subunit,osmF-yehYXW,"rpoH, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12011
b0453,0.0803527228418,ybaY,predicted outer membrane lipoprotein,ybaY,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6250
b2086,0.07861424881189999,yegS,lipid kinase,yegS,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7123
b1003,0.07759523649,yccJ,putative protein,wrbA-yccJ,"csgD, nac, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12703
b3239,0.0769257067865,yhcO,predicted barnase inhibitor,yhcO,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7684
b1197,0.07625388766260001,treA,periplasmic trehalase,treA,rpoS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11017
b1927,0.07590548583760001,amyA,&alpha;-amylase,amyA,rpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11387
b2097,0.0758672795997,fbaB,fructose bisphosphate aldolase class I,fbaB,"cra, rpoS, yieP",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7129
b2662,0.0758012770215,gabT,4-aminobutyrate aminotransferase,csiD-lhgO-gabDTP,"arcA, crp, csiR, h-NS, lrp, nac, rpoD, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10361
b2661,0.0751044947585,gabD,succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>),csiD-lhgO-gabDTP,"arcA, crp, csiR, h-NS, lrp, nac, rpoD, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11329
b2665,0.0707693514522,ygaU,K<sup>+</sup> binding protein,yqaE-kbp,"cpxR, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7395
b0788,0.0707195293743,ybhN,conserved inner membrane protein,ybhP-clsB-ybhN,lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6405
b2543,0.0699811888121,yphA,predicted inner membrane protein,yphA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7337
b3100,0.06955205423489999,yqjK,conserved protein,yqjCDEK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7614
b1953,0.0690809040438,yodD,stress-induced protein,yodD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7046
b2660,0.0689528514978,lhgO,L-2-hydroxyglutarate oxidase,csiD-lhgO-gabDTP,"arcA, crp, csiR, h-NS, lrp, nac, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12387
b0325,0.0677917885291,yahK,"aldehyde reductase, NADPH-dependent",yahK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6190
b4107,0.06697487082550001,yjdN,conserved protein,yjdN,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10712
b1341,0.0638648747078,ydaM,diguanylate cyclase,dgcM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6673
b2663,0.06376727453099999,gabP,4-aminobutyrate:H<sup>+</sup> symporter,csiD-lhgO-gabDTP,"arcA, crp, csiR, h-NS, lrp, nac, rpoD, rpoS, yddM",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11330
b1536,0.0628212489304,ydeI,stress response protein,ydeI,"rcdA, rpoD",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11644
b3588,0.062267925244,aldB,acetaldehyde dehydrogenase,aldB,"crp, fis, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12292
b3098,0.0622399490546,yqjD,inner membrane protein associated with the ribosome,yqjCDEK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7612
b0384,0.0619605197375,psiF,conserved protein,phoA-psiF,"phoB, rpoD",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11401
b3153,0.061308768044300015,yhbO,amino acid deglycase,yhbO,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7647
b3097,0.0610442890372,yqjC,conserved protein,yqjCDEK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7611
b1739,0.060169442179,osmE,osmotically inducible protein OsmE,osmE,"fis, ihf, rpoD, rpoS, yeiE",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10044
b2129,0.0598935998231,yehX,glycine betaine ABC transporter - putative ATP binding subunit,osmF-yehYXW,"rpoH, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12010
b2659,0.059892884961,csiD,putative protein,csiD-lhgO-gabDTP,"arcA, crp, csiR, h-NS, lrp, nac, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7394
b0837,0.0595011237312,yliI,aldose sugar dehydrogenase,yliI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6437
b0456,0.0594420543557,ybaA,conserved protein,ybaA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11099
b2128,0.059195848238599996,yehW,glycine betaine ABC transporter - putative membrane subunit,osmF-yehYXW,"rpoH, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12009
b3361,0.059157461144,fic,stationary-phase protein,yhfG-fic-pabA,"crp, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10307
b1847,0.059097616662599994,yebF,putative protein,yebF,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11807
b2112,0.0581106858806,yehE,putative protein,yehE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11991
b3099,0.0577776004195,yqjE,conserved inner membrane protein,yqjCDEK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7613
b3524,0.0561296719286,yhjG,predicted outer membrane biogenesis protein,yhjG,rpoS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12251
b1955,0.055872935274,yedP,predicted phosphatase,yedP,crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7048
b1795,0.055320381514599996,yeaQ,conserved inner membrane protein,yeaQ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6981
b0753,0.052737884388699995,ybgS,conserved protein,ybgS,"crp, lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6394
b1428,0.0526300839668,ydcK,predicted enzyme,ydcK,yheO,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6741
b2127,0.052553328924699994,mlrA,MlrA DNA-binding transcriptional activator,mlrA,"crp, fliZ, rpoD, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12008
b1285,0.0522057646337,gmr,cyclic di-GMP phosphodiesterase,pdeR,"fliZ, fur, rpoS, rutR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6639
b1519,0.051979098410300004,tam,<i>trans</i>-aconitate 2-methyltransferase,lsrACDBFG-tam,"crp, lsrR, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6806
b1258,0.051875313505499995,yciF,conserved protein,yciGFE,"h-NS, mcbR, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11126
b1482,0.0516267617285,osmC,osmotically inducible peroxiredoxin,osmC,"h-NS, lrp, nhaR, rcsB, rpoD, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10680
b1449,0.0511370141974,curA,NADPH-dependent curcumin/dihydrocurcumin reductase subunit,curA,nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6760
b3548,0.0500438907144,yhjY,conserved protein,yhjY,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12269
