locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Nac,PaaX,link
b1426,0.17102647940000001,ydcH,protein YdcH,Function unknown,ydcH,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12865
b1382,0.1367078118,ynbE,lipoprotein YnbE,Function unknown,,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6704
b4493,0.1247940263,gapC,glyceraldehyde-3-phosphate dehydrogenase,Carbohydrate transport and metabolism,,Fnr,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G8205
b1415,0.12131241690000001,aldA,aldehyde dehydrogenase A,Energy production and conversion,aldA,"RpoD,Rob,YidZ,SoxS,MarA,Fnr,Crp,ArcA,DnaA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10035
b1427,0.116342017,rimL,ribosomal-protein-L12-serine acetyltransferase,"Translation, ribosomal structure and biogenesis",rimL,YfeD,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10853
b1419,0.1157699138,ydcA,protein YdcA,No COG annotation,ydcA,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11219
b1379,0.1154817481,hslJ,lipoprotein implicated in Novobiocin resistance,"Post-translational modification, protein turnover,and chaperones",hslJ,"RpoD,CysB",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6702
b1422,0.1118595554,ydcI,putative DNA-binding transcriptional repressor YdcI,Transcription,ydcI,Nac,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6737
b1423,0.10643339600000001,ydcJ,DUF1338 domain-containing protein YdcJ,Function unknown,ydcJ,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6738
b1431,0.1063978181,ydcL,DUF3313 domain-containing lipoprotein YdcL,Cell wall/membrane/envelope biogenesis,ydcL,"Lrp,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6742
b1446,0.1047992444,ydcY,DUF2526 domain-containing protein YdcY,Function unknown,ydcY,Nac,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6757
b1406,0.10379308450000001,pdxI,pyridoxine 4-dehydrogenase,Energy production and conversion,pdxI,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11309
b1428,0.1018904994,ydcK,putative enzyme YdcK,Function unknown,ydcK,"YheO,ppGpp,Lrp,GlaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6741
b1449,0.0988475526,curA,NADPH-dependent curcumin/dihydrocurcumin reductase,Function unknown,curA,"Nac,ppGpp",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6760
b1462,0.0985005962,yddH,flavin reductase-like protein YddH,Function unknown,yddH,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6769
b1436,0.09620287150000001,yncJ,protein YncJ,Function unknown,,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6747
b3751,0.0941857016,rbsB,ribose ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,rbsDACBKR,"RpoD,Crp,RbsR,dsrA,rybB",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10815
b1424,0.0907302511,opgD,glucan biosynthesis protein D,Inorganic ion transport and metabolism,opgD,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12859
b1450,0.0906074055,mcbR,DNA-binding transcriptional dual regulator McbR,Transcription,mcbR,YgiV,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6761
b1430,0.0893774356,tehB,tellurite methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",tehAB,NsrR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11884
b1454,0.0878479289,yncG,putative glutathione S-transferase YncG,"Post-translational modification, protein turnover,and chaperones",yncG,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6765
b1418,0.0861811338,cybB,cytochrome b561,Energy production and conversion,cybB,YidZ,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10172
b1433,0.0860088237,ydcO,putative transport protein YdcO,"Secondary metabolites biosynthesis, transport, and catabolism",ydcO,SutR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6744
b1434,0.08574688600000001,sutR,DNA-binding transcriptional dual regulator SutR,Transcription,sutR,"RpoD,YdcN,SutR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6745
b1444,0.0849514177,patD,gamma-aminobutyraldehyde dehydrogenase,Energy production and conversion,ydcSTUV-patD,"RpoS,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6755
b1429,0.0843459402,tehA,tellurite resistance protein,Inorganic ion transport and metabolism,tehAB,"YheO,NsrR,GlaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11883
b1378,0.0826648172,ydbK,putative pyruvate-flavodoxin oxidoreductase,Energy production and conversion,ydbK-ompN,"ryhB,RpoS,SoxS",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6701
b1442,0.0823521583,ydcU,putative ABC transporter membrane subunit YdcU,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6753
b1461,0.08116474480000001,pptA,putative 4-oxalocrotonate tautomerase (4-OT),Function unknown,pptA,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11761
b1448,0.0810797847,mnaT,L-amino acid N-acyltransferase,Cell wall/membrane/envelope biogenesis,mnaT-ydcZ,"YidZ,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6759
b1383,0.0809930859,ydbL,DUF1318 domain-containing protein YdbL,Function unknown,ydbH-ynbE-ydbL,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6705
b1385,0.08042657760000001,feaB,phenylacetaldehyde dehydrogenase,Energy production and conversion,feaB,"RpoD,YddM,Crp,NsrR,FeaR,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7961
b1414,0.0803652398,ydcF,DUF218 domain-containing protein YdcF,Function unknown,ydcF,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12110
b1380,0.0775219941,ldhA,D-lactate dehydrogenase,Energy production and conversion,ldhA,"YheO,RpoH,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G592
b1445,0.0769239919,ortT,orphan toxin OrtT,Function unknown,,"Crp,Fnr,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6756
b4532,0.0760550712,hicA,toxin of the HicA-HicB toxin-antitoxin system,"Translation, ribosomal structure and biogenesis",,"RpoD,Crp,HicB",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10451
b1438,0.0758848847,hicB,antitoxin of the HicA-HicB toxin-antitoxin system,Transcription,hicAB,"RpoD,Crp,HicB",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6749
b4492,0.0756665644,ydbA,putative outer membrane protein%2C N-terminal fragment,"Intracellular trafficking, secretion, and vesicular transport",,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6722
b1443,0.07547659450000001,ydcV,putative ABC transporter membrane subunit YdcV,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,ppGpp,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6754
b1410,0.0732452116,ynbC,hydrolase/methyltransferase domain-containing protein YnbC,Lipid transport and metabolism,ynbABCD,RcsB-BglJ,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6729
b4529,0.07252147660000001,ydbJ,DUF333 domain-containing protein YdbJ,Function unknown,ydbJ,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10450
b1413,0.07250069890000001,hrpA,ATP-dependent RNA helicase HrpA,"Replication, recombination and repair",hrpA,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6732
b1478,0.07235200680000001,adhP,ethanol dehydrogenase/alcohol dehydrogenase,Energy production and conversion,adhP,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6775
b1440,0.0723353041,ydcS,putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b1480,0.0706932737,sra,30S ribosomal subunit protein S22,"Translation, ribosomal structure and biogenesis",bdm-sra,"OmpR,RpoS,IHF,Fis,RcsB,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11508
b1441,0.0706815831,ydcT,putative ABC transporter ATP-binding protein YdcT,Inorganic ion transport and metabolism,ydcSTUV-patD,"YeiE,RpoS,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6752
b1421,0.06984933460000001,trg,methyl-accepting chemotaxis protein Trg,Cell motility,trg,"FliA,Fis,Crp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11018
b1398,0.06984760870000001,paaK,phenylacetate-CoA ligase,Coenzyme transport and metabolism,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA,spf",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6719
b1482,0.0698008987,osmC,osmotically inducible peroxiredoxin,"Post-translational modification, protein turnover,and chaperones",osmC,"RpoD,RpoS,H-NS,ppGpp,Lrp,RcsB,NhaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10680
b1384,0.0696057687,feaR,DNA-binding transcriptional activator FeaR,Transcription,feaR,"QseB,RpoD,Crp,NsrR,Nac,PhoB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6706
b1432,0.06879865190000001,insQ,putative insertion element transposase InsQ,"Replication, recombination and repair",insQ,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6743
b1447,0.0685135187,ydcZ,putative inner membrane protein,Function unknown,mnaT-ydcZ,Nac,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6758
