locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,DguR,SouR,link
PA5397,0.19218130800000002,PA5397,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5397&e1=1&assembly=complete
PA5420,0.18970397700000002,purU2,,formyltetrahydrofolate deformylase,Nucleotide transport and metabolism,"SouR,GbdR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5420&e1=1&assembly=complete
PA5416,0.189174741,soxB,,sarcosine oxidase subunit beta,Amino acid transport and metabolism,"SouR,GbdR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5416&e1=1&assembly=complete
PA5410,0.18208131300000002,gbcA,,protein GbcA,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5410&e1=1&assembly=complete
PA5418,0.17922701400000002,soxA,,sarcosine oxidase subunit alpha,Energy production and conversion,"SouR,GbdR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5418&e1=1&assembly=complete
PA5419,0.17919468600000002,soxG,,sarcosine oxidase subunit gamma,Amino acid transport and metabolism,"SouR,GbdR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5419&e1=1&assembly=complete
PA5417,0.17582303800000001,soxD,,sarcosine oxidase subunit delta,Amino acid transport and metabolism,"SouR,GbdR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5417&e1=1&assembly=complete
PA5411,0.15433179200000002,gbcB,,protein GbcB,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5411&e1=1&assembly=complete
PA5415,0.151884609,glyA1,,serine hydroxymethyltransferase,Amino acid transport and metabolism,"SouR,GbdR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5415&e1=1&assembly=complete
PA5398,0.150195474,dgcA,,dimethylglycine catabolism protein DgcA,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5398&e1=1&assembly=complete
PA5399,0.14553855500000001,dgcB,,dimethylglycine catabolism protein DgcB,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5399&e1=1&assembly=complete
PA5421,0.144466496,fdhA,,glutathione-independent formaldehyde dehydrogenase,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5421&e1=1&assembly=complete
PA3236,0.1419223,PA3236,,glycine betaine-binding protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3236&e1=1&assembly=complete
PA5396,0.14002188000000002,PA5396,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5396&e1=1&assembly=complete
PA5401,0.139818394,PA5401,,hypothetical protein,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5401&e1=1&assembly=complete
PA5400,0.137439887,PA5400,,electron transfer flavoprotein subunit alpha,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5400&e1=1&assembly=complete
