locus,comp,gene_name,product,operon,TF,fur,link
b2155,0.24753413581300002,cirA,outer membrane receptor involved in uptake of ferric dihyroxybenzoylserine,cirA,"arcA, crp, fur, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10155
b0584,0.24747058241,fepA,ferric enterobactin / colicin B / colicin D outer membrane porin FepA,fepA-entD,"crp, fur, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10293
b0805,0.245032464549,fiu,putative outer membrane receptor for iron transport,fiu,"arcA, crp, fur, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6414
b0586,0.206488459956,entF,apo-serine activating enzyme,fes-ybdZ-entF-fepE,"fnr, fur, h-NS, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10264
b0585,0.197510070687,fes,enterochelin esterase,fes-ybdZ-entF-fepE,"fnr, fur, h-NS, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10299
b0594,0.173521108128,entE,"2,3-dihydroxybenzoate-AMP ligase",entCEBAH,"crp, fur, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10263
b0595,0.172764171299,entB,EntB,entCEBAH,"crp, fur, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10260
b0804,0.169381770941,ybiX,conserved protein,ybiX,"fur, yieP",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6413
b0583,0.169132413924,entD,phosphopantetheinyl transferase/phosphopantetheinyl transferase,fepA-entD,"crp, fur, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10262
b0593,0.166298635076,entC,isochorismate synthase 1,entCEBAH,"crp, fur, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10261
b1102,0.16443775573799999,fhuE,ferric coprogen outer membrane porin FhuE,fhuE,fur,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10306
b4511,0.161348872468,ybdZ,MbtH-like protein that enhances the catalytic function of EntF,fes-ybdZ-entF-fepE,"fnr, fur, h-NS, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10437
b0596,0.155965060867,entA,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",entCEBAH,"crp, fur, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10259
b0597,0.149544833218,entH,proofreading thioesterase in enterobactin biosynthesis,entCEBAH,"crp, fur, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11105
b2676,0.124804390152,nrdF,"ribonucleoside-diphosphate reductase 2, &beta; subunit",nrdHIEF,"cra, fur, iscR, nrdR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12381
b4567,0.120401479681,yjjZ,putative protein,yjjZ,"fnr, fur, nac, oxyR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10474
b2675,0.119478124036,nrdE,"ribonucleoside-diphosphate reductase 2, &alpha; subunit",nrdHIEF,"cra, fur, iscR, nrdR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20257
