locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,Dnr,NarL,link
PA3872,0.308366574,narI,,respiratory nitrate reductase subunit gamma,Energy production and conversion,NarL,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3872&e1=1&assembly=complete
PA3873,0.280037878,narJ,,respiratory nitrate reductase subunit delta,Energy production and conversion,NarL,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3873&e1=1&assembly=complete
PA3871,0.279585617,PA3871,,PpiC-type peptidyl-prolyl cis-trans isomerase,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3871&e1=1&assembly=complete
PA3874,0.25801222500000004,narH,,respiratory nitrate reductase subunit beta,Energy production and conversion,NarL,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3874&e1=1&assembly=complete
PA3870,0.20732387700000002,moaA1,,molybdenum cofactor biosynthesis protein A,Coenzyme transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3870&e1=1&assembly=complete
PA3875,0.202578149,narG,,respiratory nitrate reductase subunit alpha,Energy production and conversion,NarL,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3875&e1=1&assembly=complete
PA3876,0.126158292,narK2,,nitrite extrusion protein 2,Inorganic ion transport and metabolism,NarL,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3876&e1=1&assembly=complete
PA0509,0.10645826600000001,nirN,,cytochrome C,Energy production and conversion,"Anr,Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0509&e1=1&assembly=complete
PA3914,0.088917802,moeA1,,molybdenum cofactor biosynthesis protein A,Coenzyme transport and metabolism,"Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3914&e1=1&assembly=complete
PA0510,0.087465664,PA0510,,uroporphyrin-III C-methyltransferase,Coenzyme transport and metabolism,"Anr,Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0510&e1=1&assembly=complete
