locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,AmrZ,RsmA,link
PA4625,0.13479295100000002,PA4625,,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4625&e1=1&assembly=complete
PA4624,0.110718247,PA4624,,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4624&e1=1&assembly=complete
PA0170,0.104497008,PA0170,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0170&e1=1&assembly=complete
PA2440,0.099791816,PA2440,,hypothetical protein,Carbohydrate transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2440&e1=1&assembly=complete
PA0171,0.09829689300000001,PA0171,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0171&e1=1&assembly=complete
PA0169,0.088757639,PA0169,,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0169&e1=1&assembly=complete
PA2441,0.088627093,PA2441,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2441&e1=1&assembly=complete
PA3062,0.08694336400000001,pelC,,pellicle/biofilm biosynthesis outer membrane protein PelC,Function unknown,"RpoS,FleQ,RsmA",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3062&e1=1&assembly=complete
PA2560,0.083866022,PA2560,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2560&e1=1&assembly=complete
PA0172,0.08285360800000001,PA0172,,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0172&e1=1&assembly=complete
