locus,gene_weight,gene_name,gene_product,cog,regulator,OxyR,link
b0849,0.3998381168322179,grxA,reduced glutaredoxin 1,"Post-translational modification, protein turnover,and chaperones",OxyR,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10417
b0606,0.2837591842653619,ahpF,alkyl hydroperoxide reductase%2C AhpF component,"Post-translational modification, protein turnover,and chaperones","RpoE,RpoD,MetJ,OxyR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11385
b3942,0.2601016186848295,katG,hydroperoxidase I,Inorganic ion transport and metabolism,"RpoD,Fur,Fnr,ppGpp,OxyR,Nac,SdhX",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10511
b2582,0.2459945674043386,trxC,reduced thioredoxin 2,"Post-translational modification, protein turnover,and chaperones","RpoD,OxyR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11887
b0605,0.2437773320090132,ahpC,alkyl hydroperoxide reductase%2C AhpC component,"Post-translational modification, protein turnover,and chaperones","RpoD,MetJ,OxyR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11384
b0812,0.2428496746836553,dps,stationary phase nucleoid protein that sequesters iron and protects DNA from damage,Inorganic ion transport and metabolism,"OxyR,RpoD,oxyS,RpoS,IHF,MntR,ppGpp,Fis,H-NS,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11415
b3518,0.2403205225232727,ccp,cytochrome c peroxidase,Energy production and conversion,"RpoD,OxyR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12244
b0475,0.1615612594606809,hemH,ferrochelatase,Coenzyme transport and metabolism,"RpoD,YeiE,OxyR,Nac,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10431
b3943,0.155049645453093,yijE,cystine exporter,Amino acid transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11902
b0006,0.140794212733782,yaaA,peroxide stress resistance protein YaaA,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10011
b3425,0.0899823305203879,glpE,thiosulfate sulfurtransferase GlpE,Inorganic ion transport and metabolism,"Crp,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10395
b1684,0.0866133272280913,sufA,iron-sulfur cluster insertion protein SufA,Function unknown,"RpoD,NsrR,ppGpp,IHF,IscR,OxyR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11378
b1683,0.0807650396185433,sufB,Fe-S cluster scaffold complex subunit SufB,"Post-translational modification, protein turnover,and chaperones","RpoD,NsrR,ppGpp,IHF,IscR,OxyR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6909
b1749,0.0764137661254917,xthA,exodeoxyribonuclease III,"Replication, recombination and repair","RpoS,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11073
b1682,0.0725063840762388,sufC,Fe-S cluster scaffold complex subunit SufC,Inorganic ion transport and metabolism,"RpoD,NsrR,IHF,IscR,OxyR,Fur,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6908
b3961,0.0714641647566259,oxyR,DNA-binding transcriptional dual regulator OxyR,Transcription,"RpoD,RpoS,Crp,OxyR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10681
b2583,0.0691066558709824,yfiP,conserved protein YfiP,Function unknown,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7349
b2436,0.0690336615497639,hemF,coproporphyrinogen III oxidase,Coenzyme transport and metabolism,"RpoD,IHF",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12189
b0881,0.0688723366448778,clpS,specificity factor for ClpA-ClpP chaperone-protease complex,Function unknown,"PhoP,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6463
b0683,0.0682834498531572,fur,DNA-binding transcriptional dual regulator Fur,Transcription,"RpoD,Crp,OxyR,SoxS,Fur,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10359
b1681,0.0673552783486766,sufD,Fe-S cluster scaffold complex subunit SufD,"Post-translational modification, protein turnover,and chaperones","RpoD,NsrR,IHF,IscR,OxyR,Fur,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6907
b0888,0.0630880575119363,trxB,thioredoxin reductase,"Post-translational modification, protein turnover,and chaperones","YeiE,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11032
b3519,0.0620715101478111,treF,cytoplasmic trehalase,Carbohydrate transport and metabolism,"YfeD,RpoS,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12245
b2558,0.0588115192288504,mltF,membrane-bound lytic murein transglycosylase F,Cell wall/membrane/envelope biogenesis,"RpoD,Rob,YidZ,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11373
