locus,gene_weight,gene_name,gene_product,cog,regulator,LexA,GbuR,link
PA1421,0.2122595568,gbuA,guanidinobutyrase,Amino acid transport and metabolism,GbuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1421&e1=1&assembly=complete
PA1418,0.1839884493,PA1418,sodium:solute symport protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1418&e1=1&assembly=complete
PA1420,0.1657796996,PA1420,hypothetical protein,Function unknown,GbuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1420&e1=1&assembly=complete
PA1419,0.1447864505,PA1419,transporter,"Intracellular trafficking, secretion, and vesicular transport",GbuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1419&e1=1&assembly=complete
PA1417,0.1377092484,PA1417,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1417&e1=1&assembly=complete
PA2288,0.1276942922,PA2288,hypothetical protein,No COG annotation,LexA,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2288&e1=1&assembly=complete
PA1416,0.12114205600000001,PA1416,hypothetical protein,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1416&e1=1&assembly=complete
PA0069,0.09888575120000001,PA0069,hypothetical protein,"Replication, recombination and repair",LexA,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0069&e1=1&assembly=complete
PA3008,0.0946594228,PA3008,cell division inhibitor SulA,"Cell cycle control, cell division, chromosome partitioning",LexA,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3008&e1=1&assembly=complete
PA4763,0.08716239120000001,recN,DNA repair protein RecN,"Replication, recombination and repair",LexA,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4763&e1=1&assembly=complete
PA1466,0.0864329917,PA1466,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1466&e1=1&assembly=complete
PA0051,0.0843559026,phzH,phenazine-modifying protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0051&e1=1&assembly=complete
PA3007,0.0787684496,lexA,LexA repressor,Transcription,LexA,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3007&e1=1&assembly=complete
PA0671,0.0770295344,PA0671,hypothetical protein,Function unknown,LexA,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0671&e1=1&assembly=complete
PA0922,0.0758103846,PA0922,hypothetical protein,No COG annotation,LexA,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0922&e1=1&assembly=complete
