locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoE,link
b3055,0.2710201083,ygiM,putative signal transduction protein (SH3 domain),Signal transduction mechanisms,ygiM-cca,"RpoE,Nac,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12434
b2419,0.26974565840000003,yfeK,protein YfeK,Function unknown,yfeKS,"RpoE,Nac,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7260
b2573,0.2458890059,rpoE,RNA polymerase sigma E factor,Transcription,rseD-rpoE-rseABC,"RpoD,YfeD,RpoN,RpoE,RpoS,IHF,CpxR,Crp,NtrC,RcsB,GlrR,CsrA,DksA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11897
b2572,0.2377683152,rseA,anti-sigma factor,Signal transduction mechanisms,rseD-rpoE-rseABC,"RpoD,YbeF,RpoN,RpoE,RpoS,IHF,CpxR,Crp,NtrC,RcsB,GlrR,DksA,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12341
b0161,0.2336547749,degP,periplasmic serine endoprotease DegP,"Post-translational modification, protein turnover,and chaperones",degP,"RpoE,H-NS,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10463
b2420,0.1657775736,yfeS,conserved protein YfeS,Function unknown,yfeKS,"RpoE,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7261
b2571,0.1644924416,rseB,anti-sigma factor stabilizing protein RseB,Signal transduction mechanisms,rseD-rpoE-rseABC,"RpoD,RpoN,RpoE,RpoS,IHF,CpxR,Crp,NtrC,RcsB,GlrR,DksA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7348
b1874,0.1557767502,cutC,protein CutC,Inorganic ion transport and metabolism,yecM-cutC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7024
b1806,0.1532355873,yeaY,Slp family lipoprotein YeaY,Cell wall/membrane/envelope biogenesis,tsaB-yeaY,"RpoE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6990
b2570,0.145348271,rseC,protein RseC,Signal transduction mechanisms,rseD-rpoE-rseABC,"RpoD,YdcN,RpoN,RpoE,RpoS,IHF,CpxR,Crp,RcsB,NtrC,GlrR,DksA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7347
b3527,0.143816027,yhjJ,peptidase M16 family protein,Function unknown,yhjJ,"RpoE,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12254
b2432,0.1264018889,yfeY,DUF1131 domain-containing lipoprotein YfeY,Function unknown,yfeYX,RpoE,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7267
b0065,0.117723011,yabI,DedA family protein YabI,Function unknown,yabI,"YeiE,RpoS,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11571
b2958,0.1048857999,yggN,putative EcfF,Function unknown,yggN,RpoE,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12705
b0791,0.1012922019,ybhQ,putative inner membrane protein,Function unknown,ybhQ,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6408
b2340,0.0946539606,sixA,phosphohistidine phosphatase,Signal transduction mechanisms,sixA,"RpoD,YciT,RpoE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7211
b0691,0.0945354713,ybfG,PF10964 domain-containing protein YbfG,Function unknown,,RpoE,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11778
b4041,0.09195489200000001,plsB,glycerol-3-phosphate 1-O-acyltransferase,Lipid transport and metabolism,plsB,"RpoE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10740
b1873,0.0917123366,torY,cytochrome c quinol dehydrogenase TorY,Energy production and conversion,torYZ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7023
b3546,0.0841291586,eptB,Kdo2-lipid A phosphoethanolamine 7''-transferase,Function unknown,eptB,"RpoD,YcjW,RpoE,mgrR,Lrp,arcZ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12267
b2494,0.08138631040000001,bepA,beta-barrel assembly-enhancing protease,Function unknown,bepA-yfgD,RpoE,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7311
b3347,0.0808491238,fkpA,peptidyl-prolyl cis-trans isomerase FkpA,"Post-translational modification, protein turnover,and chaperones",fkpA,"RpoE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7716
b2495,0.0679741591,yfgD,putative oxidoreductase YfgD,Inorganic ion transport and metabolism,bepA-yfgD,RpoE,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7312
b3056,0.0679158405,cca,fused tRNA nucleotidyltransferase/2'%2C3'-cyclic phosphodiesterase/2' nucleotidase and phosphatase,"Translation, ribosomal structure and biogenesis",ygiM-cca,RpoE,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10136
b2617,0.0650637768,bamE,outer membrane protein assembly factor BamE,Cell wall/membrane/envelope biogenesis,bamE,"RpoE,NsrR,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10952
b2821,0.0628233332,ptrA,protease 3,"Post-translational modification, protein turnover,and chaperones",ptrA-recBD,"RpoD,LexA,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10786
b3713,0.0608749617,yieF,chromate reductase,Function unknown,yieEF,"RpoE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11723
b0377,0.0599949735,sbmA,peptide antibiotic/peptide nucleic acid transporter,"Intracellular trafficking, secretion, and vesicular transport",sbmA-yaiW,"RpoE,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10928
b3252,0.0596829225,csrD,regulator of CsrB and CsrC decay,Signal transduction mechanisms,csrD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10018
b3688,0.0561476832,yidQ,DUF1375 domain-containing putative lipoprotein YidQ,Function unknown,yidQ,"RpoE,CpxR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11712
b1805,0.055976868900000004,fadD,fatty acyl-CoA synthetase,Lipid transport and metabolism,fadD-sroD,"RpoD,Crp,ArcA,ppGpp,FadR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11530
b2631,0.054680509100000003,rnlB,CP4-57 prophage%3B antitoxin RnlB,Function unknown,rnlAB,"RpoD,RpoE,IscR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7366
b4725,0.0529350057,rseD,rpoE leader peptide,No COG annotation,,"RpoD,RpoN,RpoS,IHF,CpxR,Crp,NtrC,RcsB,GlrR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16690
b3964,0.0527073474,yijD,conserved inner membrane protein YijD,Function unknown,fabR-yijD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11395
b0741,-0.0579765255,pal,peptidoglycan-associated outer membrane lipoprotein Pal,Cell wall/membrane/envelope biogenesis,tolB-pal-cpoB,"Lrp,micA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10684
b0957,-0.0726222697,ompA,outer membrane porin A,Cell wall/membrane/envelope biogenesis,ompA,"RpoD,rseX,YebK,micA,Crp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10669
b0814,-0.0831257454,ompX,outer membrane protein X,Cell wall/membrane/envelope biogenesis,ompX,"RpoD,YciT,omrA,omrB,micA,cyaR,Fnr,OmpR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12117
