locus,gene_weight,gene_name,gene_product,cog,operon,regulator,AllR,ExuR,AraC,FucR,link
b2800,0.326215941,fucA,L-fuculose-phosphate aldolase,Carbohydrate transport and metabolism,fucAO,"RpoD,Crp,FucR,Nac",False,False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10348
b2801,0.3253161141,fucP,L-fucose:H(+) symporter,Inorganic ion transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10352
b2802,0.31108011280000003,fucI,L-fucose isomerase,Carbohydrate transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10349
b2799,0.2659061878,fucO,L-1%2C2-propanediol oxidoreductase,Energy production and conversion,fucAO,"RpoD,YdcN,Crp,FucR",False,False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10351
b2803,0.2623503136,fucK,L-fuculokinase,Nucleotide transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10350
b2804,0.2056194731,fucU,L-fucose mutarotase,Carbohydrate transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,ppGpp",False,False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10355
b1521,0.12450587070000001,uxaB,tagaturonate reductase,Carbohydrate transport and metabolism,uxaB,"RpoD,YdcN,YciT,YqhC,YdhB,YebK,YdiP,YbcM,ExuR,Crp",False,True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11065
b3092,0.1184339326,uxaC,D-glucoronate/D-galacturonate isomerase,Carbohydrate transport and metabolism,uxaCA,"RpoD,YdcN,YqhC,YdhB,YbcM,YebK,YedW,ExuR,Crp,Fnr,Nac",False,True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G81
b3091,0.1120474924,uxaA,D-altronate dehydratase,Carbohydrate transport and metabolism,uxaCA,"RpoD,ExuR,Crp,Fnr",False,True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12734
b0509,0.1102547809,glxR,tartronate semialdehyde reductase 2,Lipid transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR",True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6278
b0512,0.1054463135,allB,allantoinase,Nucleotide transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR,ppGpp",True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6281
b0507,0.1045796965,gcl,glyoxylate carboligase,Function unknown,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR",True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11583
b3011,0.0998447628,yqhD,NADPH-dependent aldehyde reductase YqhD,Energy production and conversion,yqhD-dkgA,"RpoD,YqhC",False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7564
b0505,0.09579305660000001,allA,ureidoglycolate lyase,Nucleotide transport and metabolism,allA,"YcjW,AllR",True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6275
b0508,0.0949817173,hyi,hydroxypyruvate isomerase,Carbohydrate transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR",True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6277
b0511,0.0900620672,ybbW,putative allantoin transporter,Nucleotide transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,YeiE,AllR,Nac",True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6280
b3093,0.0808637888,exuT,hexuronate transporter,Inorganic ion transport and metabolism,exuT,"YqhC,ExuR,Crp,DpiA,Nac",False,True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12738
b0062,0.0758091421,araA,L-arabinose isomerase,Carbohydrate transport and metabolism,araBAD,"RpoD,Crp,AraC",False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10052
b0061,0.0682763255,araD,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,araBAD,"RpoD,Crp,AraC",False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10055
b0063,0.0679022866,araB,ribulokinase,Nucleotide transport and metabolism,araBAD,"RpoD,Crp,AraC",False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10053
b1415,0.06709087400000001,aldA,aldehyde dehydrogenase A,Energy production and conversion,aldA,"RpoD,Rob,YidZ,SoxS,MarA,Fnr,Crp,ArcA,DnaA",False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10035
b2172,0.0662991047,yeiQ,putative dehydrogenase%2C NAD-dependent,Carbohydrate transport and metabolism,yeiQ,"YfeC,YqhC,ArcA",False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12036
b2841,0.059532780900000005,araE,arabinose:H(+) symporter,Amino acid transport and metabolism,araE-ygeA,"RpoD,Crp,AraC,Nac",False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10056
b4460,0.056909816700000004,araH,arabinose ABC transporter membrane subunit,Carbohydrate transport and metabolism,araFGH,"RpoD,RpoS,Crp,AraC",False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10059
