locus,gene_weight,gene_name,gene_product,cog,regulator,FlhDC,link
b1949,0.2058666919720861,fliQ,flagellar biosynthesis protein FliQ,Cell motility,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11976
b1950,0.2017571076291349,fliR,flagellar biosynthesis protein FliR,Cell motility,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11977
b1878,0.1917564025829612,flhE,flagellar protein,Cell motility,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7027
b4495,0.1789600987281101,yedN,putative type III secreted effector%2C N-terminal fragment,Function unknown,gcvB,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7043
b1948,0.159561310737136,fliP,flagellar biosynthesis protein FliP,Cell motility,"RpoD,FliA,ppGpp,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11975
b1904,0.1542658524174369,yecR,lipoprotein YecR,Function unknown,"Fnr,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7035
b1937,0.1533776362510848,fliE,flagellar basal-body protein FliE,Cell motility,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11346
b1879,0.1504160058526719,flhA,flagellar biosynthesis protein FlhA,Cell motility,"RpoD,YcjW,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G370
b1926,0.1341931456203468,fliT,flagellar biosynthesis protein FliT,Transcription,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11389
b1043,0.1325765004641234,csgC,inhibitor of CsgA amyloid formation,Cell wall/membrane/envelope biogenesis,"RpoD,RpoS,FliZ,CpxR,CsgD,BtsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6548
b1044,0.1306849896244649,ymdA,uncharacterized protein YmdA,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6549
