locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ryhB,link
b2530,0.3120702489,iscS,cysteine desulfurase,Amino acid transport and metabolism,iscRSUA,"RpoD,ryhB,IscR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7325
b2531,0.3056148153,iscR,DNA-binding transcriptional dual regulator IscR,Transcription,iscRSUA,"RpoD,ryhB,YidZ,IscR,fnrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7326
b2529,0.28774476320000003,iscU,scaffold protein for iron-sulfur cluster assembly,Energy production and conversion,iscRSUA,"RpoD,ryhB,IscR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7324
b2528,0.27225015750000003,iscA,iron-sulfur cluster insertion protein IscA,Function unknown,iscRSUA,"RpoD,ryhB,IscR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12132
b2527,0.2655425131,hscB,co-chaperone for [Fe-S] cluster biosynthesis,"Post-translational modification, protein turnover,and chaperones",hscBA-fdx-iscX,"RpoD,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12131
b2525,0.2036119959,fdx,reduced ferredoxin,Energy production and conversion,hscBA-fdx-iscX,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11328
b2526,0.2002497275,hscA,iron-sulfur cluster biosynthesis chaperone HscA,"Post-translational modification, protein turnover,and chaperones",hscBA-fdx-iscX,"RpoD,YbiH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12130
b2524,0.1823362205,iscX,accessory iron-sulfur cluster assembly protein IscX,Function unknown,hscBA-fdx-iscX,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12311
b2522,0.1484935869,sseB,protein SseB,Function unknown,sseB,"ryfA,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11601
b2523,0.1455372148,pepB,aminopeptidase B,Amino acid transport and metabolism,pepB,ryhB,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12310
b3414,0.14524629020000002,nfuA,iron-sulfur cluster carrier protein NfuA,"Post-translational modification, protein turnover,and chaperones",yhgH-nfuA,"RpoD,RpoH,GntR,Crp,IscR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7748
b0156,0.11819518,erpA,iron-sulfur cluster insertion protein ErpA,Energy production and conversion,erpA,"IscR,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12332
