locus,gene_weight,gene_name,gene_product,cog,operon,regulator,MetJ,link
b3941,0.2887952733,metF,5%2C10-methylenetetrahydrofolate reductase,Amino acid transport and metabolism,metF,"RpoD,MetJ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10585
b4013,0.2720381888,metA,homoserine O-succinyltransferase,Amino acid transport and metabolism,metA,"RpoD,RpoH,MetJ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10581
b3828,0.2290736969,metR,DNA-binding transcriptional dual regulator MetR,Transcription,metR,"OxyR,YcfQ,YebK,MetR,MetJ,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10591
b0260,0.216008639,mmuP,S-methyl-L-methionine transporter,Amino acid transport and metabolism,mmuPM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6135
b3829,0.2109096922,metE,cobalamin-independent homocysteine transmethylase,Amino acid transport and metabolism,metE,"OxyR,YcjW,MetJ,MetR,Nac,fnrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10584
b0600,0.20640939160000002,ybdL,methionine-oxo-acid transaminase%2C PLP-dependent,Amino acid transport and metabolism,ybdL,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6329
b0599,0.17693767200000002,hcxA,hydroxycarboxylate dehydrogenase A,Energy production and conversion,hcxA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12692
b0199,0.1763667382,metN,L-methionine/D-methionine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,metNIQ,"RpoD,MetJ,ppGpp,HypT",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11621
b3939,0.1657347018,metB,O-succinylhomoserine(thiol)-lyase/O-succinylhomoserine lyase,Amino acid transport and metabolism,metBL,"RpoD,PhoP,HypT,MetJ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10582
b2942,0.1596659188,metK,methionine adenosyltransferase,Coenzyme transport and metabolism,metK,"RpoD,RpoS,Crp,MetJ,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10589
b0198,0.1404805716,metI,L-methionine/D-methionine ABC transporter membrane subunit,Inorganic ion transport and metabolism,metNIQ,"RpoD,MetJ,ppGpp,HypT",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11737
b0261,0.13611180380000001,mmuM,homocysteine S-methyltransferase,Amino acid transport and metabolism,mmuPM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6136
b3008,0.1359506774,metC,cystathionine beta-lyase/L-cysteine desulfhydrase,Amino acid transport and metabolism,metC,"RpoD,MetJ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10583
b3940,0.13063837350000002,metL,fused aspartate kinase/homoserine dehydrogenase 2,Amino acid transport and metabolism,metBL,"RpoD,PhoP,YcjW,HypT,MetJ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10590
b0197,0.12257499540000001,metQ,L-methionine/D-methionine ABC transporter membrane anchored binding protein,Inorganic ion transport and metabolism,metNIQ,"RpoD,MetJ,HypT",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11504
b3937,0.0983246744,yiiX,putative lipid binding hydrolase,Function unknown,yiiX,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11882
b3938,0.09535835320000001,metJ,DNA-binding transcriptional repressor MetJ,Transcription,metJ,"RpoD,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10588
