locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FlhDC,link
b1949,0.2610372163,fliQ,flagellar biosynthesis protein FliQ,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11976
b1950,0.2604759718,fliR,flagellar biosynthesis protein FliR,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11977
b1937,0.21169792510000002,fliE,flagellar basal-body protein FliE,Cell motility,fliE,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11346
b4495,0.2092920489,yedN,putative type III secreted effector%2C N-terminal fragment,Function unknown,,gcvB,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7043
b1878,0.2008099146,flhE,flagellar protein,Cell motility,flhBAE,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7027
b1044,0.1941397114,ymdA,uncharacterized protein YmdA,No COG annotation,ymdAB-clsC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6549
b1948,0.1884257711,fliP,flagellar biosynthesis protein FliP,Cell motility,fliLMNOPQR,"RpoD,FliA,ppGpp,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11975
b1947,0.1702277559,fliO,flagellar biosynthesis protein FliO,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11224
b1879,0.16361579910000001,flhA,flagellar biosynthesis protein FlhA,Cell motility,flhBAE,"RpoD,YcjW,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G370
b1926,0.1394831098,fliT,flagellar biosynthesis protein FliT,Transcription,fliDST,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11389
b1904,0.1355085326,yecR,lipoprotein YecR,Function unknown,yecR,"Fnr,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7035
b1081,0.1249918465,flgJ,putative peptidoglycan hydrolase FlgJ,Cell wall/membrane/envelope biogenesis,flgBCDEFGHIJ,"RpoD,ppGpp,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G366
b1951,0.1120129661,rcsA,DNA-binding transcriptional activator RcsA,Transcription,rcsA,"RpoD,H-NS,RcsAB,GadE,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10820
b1925,0.1090039907,fliS,flagellar biosynthesis protein FliS,Cell motility,fliDST,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11388
b1880,0.1086707009,flhB,flagellar biosynthesis protein FlhB,Cell motility,flhBAE,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7028
b1080,0.0972271656,flgI,flagellar P-ring protein,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G365
b3524,0.0916557928,yhjG,AsmA family protein YhjG,Cell wall/membrane/envelope biogenesis,yhjG,RpoS,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12251
b1946,0.0869599301,fliN,flagellar motor switch protein FliN,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10324
b1927,0.07771055090000001,amyA,alpha-amylase,Carbohydrate transport and metabolism,amyA,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11387
b1945,0.0774910137,fliM,flagellar motor switch protein FliM,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10323
b1924,0.0713470875,fliD,flagellar filament capping protein,Cell motility,fliDST,"RpoD,FliA,FlhDC,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10841
b1083,0.0700235978,flgL,flagellar hook-filament junction protein 2,Cell motility,flgKL,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11545
b1921,0.0665959513,fliZ,DNA-binding transcriptional regulator FliZ,Transcription,fliAZ-tcyJ,"RpoD,YidZ,H-NS,FliA,IHF,NsrR,EcpR,SutR,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11356
b1043,0.06656383,csgC,inhibitor of CsgA amyloid formation,Cell wall/membrane/envelope biogenesis,,"RpoD,RpoS,FliZ,CpxR,CsgD,BtsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6548
b1079,0.06472659480000001,flgH,flagellar L-ring protein,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G364
b3642,0.0603827464,pyrE,orotate phosphoribosyltransferase,Nucleotide transport and metabolism,rph-pyrE,UTP,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10808
b1045,0.0570201612,ymdB,2'-O-acetyl-ADP-ribose deacetylase%2C regulator of RNase III activity,Function unknown,ymdAB-clsC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6550
b1075,-0.0994762971,flgD,flagellar biosynthesis%2C initiation of hook assembly,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G360
b1922,-0.10429252500000001,fliA,RNA polymerase%2C sigma 28 (sigma F) factor,Transcription,fliAZ-tcyJ,"RpoD,YdcN,FliA,H-NS,IHF,NsrR,EcpR,FlhDC,SutR,CsgD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11355
b1074,-0.12457794330000001,flgC,flagellar basal-body rod protein FlgC,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G359
b1073,-0.1729227572,flgB,flagellar basal-body rod protein FlgB,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G358
