locus,gene_weight,gene_name,gene_product,COG,operon,regulator,SigE,SigG,link
BSU_36430,0.147281924,usd,putative [[protein|90DCE4F286D2C151D8BDBF0E024E6BBEC94E2397]] leader peptide,No COG category,usd->mbl,SigE,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36430
BSU_37920,0.142577105,gerQ,spore coat protein,Function unknown,gerQ,SigE,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU37920
BSU_09750,0.138939732,sspB,small acid-soluble spore protein (major beta-type SASP),Function unknown,sspB,"SpoVT,SigG",False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09750
BSU_17030,0.13759247800000002,cotE,spore coat morphogenetic protein,Function unknown,cotE,"GerE,SigK,SigE",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU17030
BSU_36420,0.135543302,spoIIID,transcriptional regulator,Transcription,usd->mbl,SigE,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36420
BSU_06890,0.12264996500000001,cotJA,unknown,Function unknown,cotJA->yesK,"SigE,SpoIIID",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06890
BSU_28110,0.11698225200000001,spoVID,spore coat morphogenetic protein,Cell wall/membrane/envelope biogenesis,spoVID->ysxE,SigE,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28110
BSU_06900,0.11230464700000001,cotJB,unknown,Function unknown,cotJA->yesK,"SigE,SpoIIID",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06900
BSU_06910,0.110146352,cotJC,putative manganese catalase,Inorganic ion transport and metabolism,cotJA->yesK,"SigE,SpoIIID",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06910
BSU_09230,0.099008777,yhcV,unknown,Function unknown,yhcV,SigG,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09230
BSU_29570,0.09511625500000001,sspA,small acid-soluble spore protein (major alpha-type SASP),No COG category,"nifZ->sspA, sspA","SpoVT,SigG",False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29570
BSU_12090,0.09150277500000001,cotT,spore coat protein (inner),No COG category,cotT,"GerE,SigK,SigE,SpoIIID",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU12090
BSU_16880,0.09005674200000001,ymfJ,unknown,Function unknown,ymfJ,"SigG,SigF",False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16880
BSU_19270,0.089954197,yozN,unknown,Function unknown,"yozN->yocN, yoyB->yocN",,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU19270
BSU_08970,0.089378569,prkA,putative serine protein kinase,Signal transduction,prkA,SigE,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08970
BSU_09780,0.088101469,yheC,ATP-binding spore coat protein,Coenzyme transport and metabolism,yheC->yheD,"SigE,SpoIIID",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09780
BSU_25080,0.087852412,yqfX,unknown,Function unknown,yqfX,SigG,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU25080
BSU_18020,0.08677190500000001,sspN,small acid-soluble spore protein (minor),No COG category,sspN->tlp,"SigG,SigF",False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU18020
BSU_28100,0.083647228,ysxE,inner spore coat protein,Function unknown,spoVID->ysxE,SigE,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28100
BSU_33340,0.083639038,sspJ,small acid-soluble spore protein (minor),No COG category,sspJ,SigG,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU33340
BSU_19280,0.08170863,yocN,unknown,Function unknown,"yozN->yocN, yoyB->yocN",,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU19280
BSU_27468,0.08099966800000001,yrzQ,unknown,No COG category,"yrrD->yrzQ, yrzR->yrzQ","SigG,SigF",False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27468
BSU_11730,0.079018893,cotO,spore coat morphogenetic protein,Function unknown,cotO,SigE,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11730
BSU_18030,0.07715305700000001,tlp,thioredoxin-like protein,Function unknown,sspN->tlp,"SigG,SigF",False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU18030
BSU_25120,0.074619505,yqfT,unknown,Function unknown,yqfT,,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU25120
BSU_30739,0.07408421400000001,ytzL,unknown,Function unknown,"ytzL, ythA->ytzL","SigG,SigF",False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU30739
BSU_22800,0.07383095,spoIVA,"ATPase, basement layer protein for spore coat assembly",Function unknown,spoIVA,"SigE,SpoIIID",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU22800
BSU_27470,0.072513889,yrrD,forespore-specific sporulation protein,Function unknown,"yrrD->yrzQ, yrrD",SigG,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27470
BSU_33240,0.07134520300000001,oxdC,oxalate decarboxylase,Carbohydrate transport and metabolism,oxdC->rsiO,"SigO,RsoA",False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU33240
