locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SoxS,link
b4062,0.2951112381,soxS,DNA-binding transcriptional dual regulator SoxS,Transcription,soxS,"RpoD,Fur,Fnr,AcrR,SoxR,SoxS,Lrp,mgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10958
b3924,0.23659780970000002,fpr,flavodoxin/ferredoxin-NADP(+) reductase,Energy production and conversion,fpr,"RpoD,ppGpp,MarA,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10628
b1611,0.21672464970000002,fumC,fumarase C,Energy production and conversion,fumAC,"RpoD,RpoS,ArcA,Fur,Fnr,Crp,MarA,Rob,SoxR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10358
b1378,0.2107047601,ydbK,putative pyruvate-flavodoxin oxidoreductase,Energy production and conversion,ydbK-ompN,"ryhB,RpoS,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6701
b1463,0.1949849703,nhoA,arylamine N-acetyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",nhoA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6770
b3908,0.17172679130000001,sodA,superoxide dismutase (Mn),Inorganic ion transport and metabolism,sodA,"RpoD,Rob,SoxR,fnrS,ArcA,Fnr,Crp,MarA,IHF,SoxS,Fur,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10953
b2159,0.15671886910000002,nfo,endonuclease IV,"Replication, recombination and repair",nfo,"RpoD,Rob,SoxS,MarA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10651
b2160,0.1529416377,yeiI,putative sugar kinase YeiI,Carbohydrate transport and metabolism,yeiI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12028
b4536,0.1523022189,yobH,protein YobH,Function unknown,yobH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10454
b0871,0.14436155,poxB,pyruvate oxidase,Energy production and conversion,hcp-hcr-poxB-ltaE-ybjT,"RpoD,SoxS,RpoS,MarA,Cra,NarP,ppGpp,NsrR,OxyR,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10754
b1377,0.14389113550000002,ompN,outer membrane porin N,Cell wall/membrane/envelope biogenesis,ydbK-ompN,"RpoD,RpoS,SoxS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6700
b3909,0.1319608462,kdgT,2-dehydro-3-deoxy-D-gluconate:H(+) symporter,"Intracellular trafficking, secretion, and vesicular transport",kdgT,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11869
b2962,0.130906948,yggX,putative Fe(2(+))-trafficking protein,Energy production and conversion,mutY-yggX-mltC-nupG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7532
b0850,0.1191144631,ybjC,DUF1418 domain-containing protein YbjC,Function unknown,ybjC-nfsA-rimK-ybjN,"RpoD,Rob,MarA,OxyR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12842
b0851,0.1133857463,nfsA,NADPH-dependent nitroreductase NfsA,Energy production and conversion,ybjC-nfsA-rimK-ybjN,"RpoD,Rob,MarA,OxyR,SoxS,SdsN",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11261
b0684,0.11085472240000001,fldA,flavodoxin 1,Energy production and conversion,fldA-uof-fur,SoxS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10318
b2963,0.1094157865,mltC,membrane-bound lytic murein transglycosylase C,Cell wall/membrane/envelope biogenesis,mutY-yggX-mltC-nupG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7533
