locus,gene_weight,gene_name,gene_product,COG,operon,regulator,FadR,link
b1187,0.2822722858,fadR,DNA-binding transcriptional dual regulator FadR,Transcription,fadR,"RpoD,FadR,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10281
b0954,0.1487167591,fabA,beta-hydroxyacyl-acyl carrier protein dehydratase/isomerase,Lipid transport and metabolism,fabA,"RpoD,FadR,FabR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10273
b0557,0.11030952470000001,borD,DLP12 prophage%3B prophage lipoprotein BorD,Function unknown,borD,"PhoP,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6312
b4520,0.09404367100000001,ymgF,inner membrane protein that interacts with cell division proteins,No COG annotation,,YeiE,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10261
b3963,-0.0865124225,fabR,DNA-binding transcriptional repressor FabR,Transcription,fabR-yijD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11394
b1551,-0.0901346277,ynfN,Qin prophage%3B protein YnfN,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6824
b3081,-0.1554066943,fadH,2%2C4-dienoyl-CoA reductase,Energy production and conversion,fadH,"Crp,ArcA,FadR,HipB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G36
b0443,-0.1728860558,fadM,thioesterase III,Function unknown,fadM,"RpoE,FadR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6244
b2341,-0.1764328922,fadJ,3-hydroxyacyl-CoA dehydrogenase FadJ,Lipid transport and metabolism,fadIJ,"RpoD,ArcA,FadR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7212
b2342,-0.1846099019,fadI,3-ketoacyl-CoA thiolase FadI,Lipid transport and metabolism,fadIJ,"RpoD,ArcA,FadR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7213
b3845,-0.22977505280000002,fadA,3-ketoacyl-CoA thiolase,Lipid transport and metabolism,fadBA,"RpoD,YidZ,Fis,FadR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10278
b3846,-0.2578171038,fadB,dodecenoyl-CoA delta-isomerase%2C enoyl-CoA hydratase%2C 3-hydroxybutyryl-CoA epimerase%2C 3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,fadBA,"RpoD,YidZ,Fis,FadR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10279
b0221,-0.2645825768,fadE,acyl-CoA dehydrogenase,Lipid transport and metabolism,fadE,"ArcA,ppGpp,FadR,OmpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6105
