locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,link
PA3334,0.229645184,PA3334,,acyl carrier protein,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3334&e1=1&assembly=complete
PA3333,0.226658141,fabH2,,3-oxoacyl-ACP synthase III,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3333&e1=1&assembly=complete
PA3332,0.212427481,PA3332,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3332&e1=1&assembly=complete
PA3328,0.21187418600000002,PA3328,,FAD-dependent monooxygenase,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3328&e1=1&assembly=complete
PA3330,0.206648359,PA3330,,short-chain dehydrogenase,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3330&e1=1&assembly=complete
PA3331,0.19640784,PA3331,,cytochrome P450,"Secondary metabolites biosynthesis, transport, and catabolism",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3331&e1=1&assembly=complete
PA3335,0.18997185900000002,PA3335,,hypothetical protein,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3335&e1=1&assembly=complete
PA3329,0.183869158,PA3329,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3329&e1=1&assembly=complete
PA3336,0.164655786,PA3336,,major facilitator superfamily transporter,Amino acid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3336&e1=1&assembly=complete
PA3327,0.162119755,PA3327,,non-ribosomal peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3327&e1=1&assembly=complete
PA3326,0.114400759,PA3326,,ATP-dependent Clp protease proteolytic subunit,"Post-translational modification, protein turnover,and chaperones",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3326&e1=1&assembly=complete
PA4211,0.075148711,phzB1,,phenazine biosynthesis protein,Function unknown,"PqsR,RhlR,QscR",https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4211&e1=1&assembly=complete
