locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,RoxR,link
PA1190,0.155613528,PA1190,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1190&e1=1&assembly=complete
PA0110,0.15098683300000001,PA0110,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0110&e1=1&assembly=complete
PA0107,0.147601493,PA0107,,cytochrome C oxidase assembly protein,"Post-translational modification, protein turnover,and chaperones",RpoS,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0107&e1=1&assembly=complete
PA0111,0.147571127,PA0111,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0111&e1=1&assembly=complete
PA0105,0.13855245600000002,coxB,,cytochrome C oxidase subunit II,Energy production and conversion,"RoxR,RpoS,RpoS",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0105&e1=1&assembly=complete
PA0106,0.135147957,coxA,,cytochrome C oxidase subunit I,Energy production and conversion,"RoxR,RpoS,RpoS",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0106&e1=1&assembly=complete
PA0108,0.112889578,coIII,,cytochrome C oxidase subunit III,Energy production and conversion,"RoxR,RpoS,RpoS",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0108&e1=1&assembly=complete
PA0113,0.10501877600000001,PA0113,,protoheme IX farnesyltransferase,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0113&e1=1&assembly=complete
PA0112,0.10452441600000001,PA0112,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0112&e1=1&assembly=complete
PA3499,0.069928707,PA3499,,hypothetical protein,"Translation, ribosomal structure and biogenesis",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3499&e1=1&assembly=complete
