locus,gene_weight,gene_name,gene_product,cog,regulator,GlcC,AmiR,link
PA3365,0.22066430010000002,PA3365,chaperone,"Post-translational modification, protein turnover,and chaperones",AmiR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3365&e1=1&assembly=complete
PA3363,0.1932072795,amiR,aliphatic amidase regulator,Transcription,AmiR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3363&e1=1&assembly=complete
PA3364,0.1821849652,amiC,aliphatic amidase expression-regulating protein,Amino acid transport and metabolism,AmiR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3364&e1=1&assembly=complete
PA3366,0.1720865751,amiE,acylamide amidohydrolase,Function unknown,AmiR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3366&e1=1&assembly=complete
PA3362,0.1271692924,PA3362,transporter protein AmiS,Function unknown,AmiR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3362&e1=1&assembly=complete
PA1946,0.0914508197,rbsB,ribose ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,RbsR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1946&e1=1&assembly=complete
PA1947,0.08583076590000001,rbsA,ribose transporter RbsA,Inorganic ion transport and metabolism,RbsR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1947&e1=1&assembly=complete
PA5353,0.0855158892,glcF,glycolate oxidase iron-sulfur subunit,Energy production and conversion,GlcC,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5353&e1=1&assembly=complete
PA2916,0.0819617716,PA2916,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2916&e1=1&assembly=complete
PA5354,0.0799953217,glcE,glycolate oxidase FAD binding subunit,Energy production and conversion,GlcC,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5354&e1=1&assembly=complete
