locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SoxS,link
b4062,0.3951123837,soxS,DNA-binding transcriptional dual regulator SoxS,Transcription,soxS,"RpoD,Fur,Fnr,AcrR,SoxR,SoxS,Lrp,mgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10958
b1463,0.20400193100000003,nhoA,arylamine N-acetyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",nhoA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6770
b1611,0.19179774930000001,fumC,fumarase C,Energy production and conversion,fumAC,"RpoD,RpoS,ArcA,Fur,Fnr,Crp,MarA,Rob,SoxR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10358
b3924,0.1708477396,fpr,flavodoxin/ferredoxin-NADP(+) reductase,Energy production and conversion,fpr,"RpoD,ppGpp,MarA,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10628
b1378,0.1518726939,ydbK,putative pyruvate-flavodoxin oxidoreductase,Energy production and conversion,ydbK-ompN,"ryhB,RpoS,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6701
b3908,0.1355318593,sodA,superoxide dismutase (Mn),Inorganic ion transport and metabolism,sodA,"RpoD,Rob,SoxR,fnrS,ArcA,Fnr,Crp,MarA,IHF,SoxS,Fur,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10953
b4380,0.1303593254,yjjI,DUF3029 domain-containing protein YjjI,Nucleotide transport and metabolism,yjjI,YciT,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12171
b2159,0.117495735,nfo,endonuclease IV,"Replication, recombination and repair",nfo,"RpoD,Rob,SoxS,MarA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10651
b2160,0.1133397553,yeiI,putative sugar kinase YeiI,Carbohydrate transport and metabolism,yeiI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12028
b0871,0.10785090160000001,poxB,pyruvate oxidase,Energy production and conversion,hcp-hcr-poxB-ltaE-ybjT,"RpoD,SoxS,RpoS,MarA,Cra,NarP,ppGpp,NsrR,OxyR,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10754
b2962,0.105844293,yggX,putative Fe(2(+))-trafficking protein,Energy production and conversion,mutY-yggX-mltC-nupG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7532
b0447,0.1037801613,decR,DNA-binding transcriptional activator DecR,Transcription,decR,"RpoD,YbaO,SoxS,MarA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6247
b0850,0.1025980801,ybjC,DUF1418 domain-containing protein YbjC,Function unknown,ybjC-nfsA-rimK-ybjN,"RpoD,Rob,MarA,OxyR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12842
b2237,0.1019301341,inaA,putative lipopolysaccharide kinase InaA,Signal transduction mechanisms,inaA,"RpoD,MarA,Rob,SoxS,GlaR,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11422
b3898,0.0992023335,frvX,peptidase M42 family protein,Carbohydrate transport and metabolism,frvABXR,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11862
b4536,0.09786947630000001,yobH,protein YobH,Function unknown,yobH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10454
b0449,0.09497290950000001,mdlB,ABC transporter family protein MdlB,Inorganic ion transport and metabolism,mdlAB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11622
b2963,0.0906377482,mltC,membrane-bound lytic murein transglycosylase C,Cell wall/membrane/envelope biogenesis,mutY-yggX-mltC-nupG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7533
b0851,0.087135508,nfsA,NADPH-dependent nitroreductase NfsA,Energy production and conversion,ybjC-nfsA-rimK-ybjN,"RpoD,Rob,MarA,OxyR,SoxS,SdsN",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11261
b0684,0.0866291165,fldA,flavodoxin 1,Energy production and conversion,fldA-uof-fur,SoxS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10318
b1053,0.083789262,mdtG,efflux pump MdtG,Amino acid transport and metabolism,mdtG,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11343
