locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CueR,HprR,CusR,link
b0573,0.515588578,cusF,copper/silver export system periplasmic binding protein,Function unknown,cusCFBA,"RpoD,PhoB,CusR,HprR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6321
b0572,0.480582275,cusC,copper/silver export system outer membrane channel,Cell wall/membrane/envelope biogenesis,cusCFBA,"RpoD,YciT,PhoB,CusR,HprR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6320
b0574,0.4667528736,cusB,copper/silver export system membrane fusion protein,Cell wall/membrane/envelope biogenesis,cusCFBA,"RpoD,PhoB,CusR,HprR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6322
b0575,0.35238239390000003,cusA,copper/silver export system RND permease,Inorganic ion transport and metabolism,cusCFBA,"RpoD,PhoB,CusR,HprR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12367
b0571,0.1737794959,cusR,DNA-binding transcriptional activator CusR,Transcription,cusRS,"RpoD,PhoB,CusR,HprR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6319
b0570,0.1602257216,cusS,sensory histidine kinase CusS,Signal transduction mechanisms,cusRS,"RpoD,PhoB,CusR,HprR",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6318
b0484,0.1082202647,copA,Cu(+) exporting P-type ATPase,Inorganic ion transport and metabolism,copA,"RpoD,OmpR,CueR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6260
b0123,0.08371431500000001,cueO,cuprous oxidase/multicopper oxidase with role in copper homeostasis,"Secondary metabolites biosynthesis, transport, and catabolism",cueO,"ryhB,CueR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12318
b0576,0.0646832182,pheP,phenylalanine:H(+) symporter PheP,Inorganic ion transport and metabolism,pheP,"RpoD,YcjW,ppGpp",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10708
b1968,0.0475300581,hprS,sensory histidine kinase HprS,Signal transduction mechanisms,hprRS,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7056
b1969,0.0473834365,hprR,DNA-binding transcriptional dual regulator HprR,Transcription,hprRS,Nac,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7057
