locus,gene_weight,gene_name,gene_product,cog,regulator,NrdR,Anr,link
PA1556,0.2233881794,ccoO2,cbb3-type cytochrome C oxidase subunit II,Energy production and conversion,Anr,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1556&e1=1&assembly=complete
PA1555,0.22264122860000002,ccoP2,cytochrome C oxidase cbb3-type subunit CcoP,Energy production and conversion,Anr,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1555&e1=1&assembly=complete
PA1555.1,0.1956738319,ccoQ2,cytochrome C oxidase cbb3-type subunit CcoQ,"Post-translational modification, protein turnover,and chaperones",Anr,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1555.1&e1=1&assembly=complete
PA5172,0.160699013,arcB,ornithine carbamoyltransferase,Amino acid transport and metabolism,"ArgR,Anr",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5172&e1=1&assembly=complete
PA5173,0.1537503785,arcC,carbamate kinase,Amino acid transport and metabolism,Anr,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5173&e1=1&assembly=complete
PA5171,0.14377792820000002,arcA,arginine deiminase,Amino acid transport and metabolism,"ArgR,Anr",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5171&e1=1&assembly=complete
PA1557,0.1426100835,ccoN2,cbb3-type cytochrome C oxidase subunit I,Energy production and conversion,Anr,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1557&e1=1&assembly=complete
PA0141,0.1396216881,PA0141,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0141&e1=1&assembly=complete
PA4587,0.1335878821,ccpR,cytochrome C551 peroxidase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4587&e1=1&assembly=complete
PA5427,0.1198371706,adhA,alcohol dehydrogenase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5427&e1=1&assembly=complete
