locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
b3751,0.1297766067,rbsB,ribose ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,rbsDACBKR,"RpoD,Crp,RbsR,dsrA,rybB",https://ecocyc.org/gene?orgid=ECOLI&id=EG10815
b1379,0.1147187581,hslJ,lipoprotein implicated in Novobiocin resistance,"Post-translational modification, protein turnover,and chaperones",hslJ,"RpoD,CysB",https://ecocyc.org/gene?orgid=ECOLI&id=G6702
b1426,0.11383867700000001,ydcH,protein YdcH,Function unknown,ydcH,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12865
b1434,0.1092724362,sutR,DNA-binding transcriptional dual regulator SutR,Transcription,sutR,"RpoD,YdcN,SutR",https://ecocyc.org/gene?orgid=ECOLI&id=G6745
b1446,0.10909060570000001,ydcY,DUF2526 domain-containing protein YdcY,Function unknown,ydcY,Nac,https://ecocyc.org/gene?orgid=ECOLI&id=G6757
b1414,0.1071343033,ydcF,DUF218 domain-containing protein YdcF,Function unknown,ydcF,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12110
b4493,0.1047594568,gapC,glyceraldehyde-3-phosphate dehydrogenase,Carbohydrate transport and metabolism,,Fnr,https://ecocyc.org/gene?orgid=ECOLI&id=G8205
b1427,0.1034452874,rimL,ribosomal-protein-L12-serine acetyltransferase,"Translation, ribosomal structure and biogenesis",rimL,YfeD,https://ecocyc.org/gene?orgid=ECOLI&id=EG10853
b1420,0.1012841958,mokB,putative regulatory protein MokB,No COG annotation,mokB,"sokB,Crp",https://ecocyc.org/gene?orgid=ECOLI&id=G6736
b1419,0.0987114728,ydcA,protein YdcA,No COG annotation,ydcA,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11219
b1480,0.09775769370000001,sra,30S ribosomal subunit protein S22,"Translation, ribosomal structure and biogenesis",bdm-sra,"OmpR,RpoS,IHF,Fis,RcsB,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG11508
b1430,0.0968113805,tehB,tellurite methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",tehAB,NsrR,https://ecocyc.org/gene?orgid=ECOLI&id=EG11884
b1445,0.09584264320000001,ortT,orphan toxin OrtT,Function unknown,,"Crp,Fnr,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6756
b1438,0.0934508681,hicB,antitoxin of the HicA-HicB toxin-antitoxin system,Transcription,hicAB,"RpoD,Crp,HicB",https://ecocyc.org/gene?orgid=ECOLI&id=G6749
b1482,0.0929563899,osmC,osmotically inducible peroxiredoxin,"Post-translational modification, protein turnover,and chaperones",osmC,"RpoD,RpoS,H-NS,ppGpp,Lrp,RcsB,NhaR",https://ecocyc.org/gene?orgid=ECOLI&id=EG10680
b1382,0.0912659189,ynbE,lipoprotein YnbE,Function unknown,,,https://ecocyc.org/gene?orgid=ECOLI&id=G6704
b1344,0.09103606040000001,ttcA,tRNA cytosine(32) 2-sulfurtransferase TtcA,"Translation, ribosomal structure and biogenesis",ttcA,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G6675
b1406,0.09052921950000001,pdxI,pyridoxine 4-dehydrogenase,Energy production and conversion,pdxI,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11309
b1423,0.0904262347,ydcJ,DUF1338 domain-containing protein YdcJ,Function unknown,ydcJ,,https://ecocyc.org/gene?orgid=ECOLI&id=G6738
b1433,0.089570009,ydcO,putative transport protein YdcO,"Secondary metabolites biosynthesis, transport, and catabolism",ydcO,SutR,https://ecocyc.org/gene?orgid=ECOLI&id=G6744
b1487,0.0892406745,ddpA,putative D%2CD-dipeptide ABC transporter periplasmic binding protein,Amino acid transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",https://ecocyc.org/gene?orgid=ECOLI&id=G6781
b1478,0.08918586810000001,adhP,ethanol dehydrogenase/alcohol dehydrogenase,Energy production and conversion,adhP,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G6775
b1488,0.0890725376,ddpX,D-alanyl-D-alanine dipeptidase,Cell wall/membrane/envelope biogenesis,ddpXABCDF,"RpoN,RpoS,NtrC",https://ecocyc.org/gene?orgid=ECOLI&id=G6782
b1397,0.08879825370000001,paaJ,beta-ketoadipyl-CoA thiolase,Lipid transport and metabolism,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",https://ecocyc.org/gene?orgid=ECOLI&id=G6718
b4428,0.0887837954,hokB,toxin HokB,Function unknown,hokB,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-9610
b4529,0.0885490879,ydbJ,DUF333 domain-containing protein YdbJ,Function unknown,ydbJ,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10450
b1399,0.08796917850000001,paaX,DNA-binding transcriptional repressor PaaX,Transcription,paaXY,"RpoD,PaaX",https://ecocyc.org/gene?orgid=ECOLI&id=G6720
b1418,0.0878616507,cybB,cytochrome b561,Energy production and conversion,cybB,YidZ,https://ecocyc.org/gene?orgid=ECOLI&id=EG10172
b1429,0.0872276879,tehA,tellurite resistance protein,Inorganic ion transport and metabolism,tehAB,"YheO,NsrR,GlaR",https://ecocyc.org/gene?orgid=ECOLI&id=EG11883
b1428,0.0864723267,ydcK,putative enzyme YdcK,Function unknown,ydcK,"YheO,ppGpp,Lrp,GlaR",https://ecocyc.org/gene?orgid=ECOLI&id=G6741
b1385,0.0864611337,feaB,phenylacetaldehyde dehydrogenase,Energy production and conversion,feaB,"RpoD,YddM,Crp,NsrR,FeaR,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G7961
b4492,0.0861431368,ydbA,putative outer membrane protein%2C N-terminal fragment,"Intracellular trafficking, secretion, and vesicular transport",,,https://ecocyc.org/gene?orgid=ECOLI&id=G6722
b1378,0.0854246589,ydbK,putative pyruvate-flavodoxin oxidoreductase,Energy production and conversion,ydbK-ompN,"ryhB,RpoS,SoxS",https://ecocyc.org/gene?orgid=ECOLI&id=G6701
b1442,0.0852783101,ydcU,putative ABC transporter membrane subunit YdcU,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6753
b1398,0.0841622682,paaK,phenylacetate-CoA ligase,Coenzyme transport and metabolism,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA,spf",https://ecocyc.org/gene?orgid=ECOLI&id=G6719
b1490,0.0840910864,dosC,diguanylate cyclase DosC,Signal transduction mechanisms,dosCP,,https://ecocyc.org/gene?orgid=ECOLI&id=G6784
b1413,0.0840099046,hrpA,ATP-dependent RNA helicase HrpA,"Replication, recombination and repair",hrpA,,https://ecocyc.org/gene?orgid=ECOLI&id=G6732
b1452,0.0830966776,yncE,PQQ-like domain-containing protein YncE,Function unknown,yncE,"MarA,ArcA",https://ecocyc.org/gene?orgid=ECOLI&id=G6763
b1491,0.0827903147,yddW,putative lipoprotein YddW,Function unknown,yddW,,https://ecocyc.org/gene?orgid=ECOLI&id=G6785
b1424,0.08224206490000001,opgD,glucan biosynthesis protein D,Inorganic ion transport and metabolism,opgD,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12859
b1483,0.0821153137,ddpF,putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpF,Inorganic ion transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",https://ecocyc.org/gene?orgid=ECOLI&id=G6777
b1376,0.08192014210000001,uspF,nucleotide binding filament protein,Signal transduction mechanisms,uspF,"YeiE,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=G6699
