locus,gene_weight,gene_name,gene_product,cog,regulator,NsrR,NarP,link
b4209,0.3069882094543916,ytfE,iron-sulfur cluster repair protein YtfE,"Cell cycle control, cell division, chromosome partitioning","Fnr,NarP,NarL,NsrR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7866
b0873,0.2585460269601229,hcp,protein S-nitrosylase,Energy production and conversion,"RpoE,NarP,NsrR,OxyR,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6457
b2732,0.2551511208873193,ygbA,protein YgbA,Function unknown,"YidZ,Fnr,NsrR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11287
b2552,0.251356282799768,hmp,nitric oxide dioxygenase,Energy production and conversion,"RpoS,Fur,NsrR,MetR,Fnr,ppGpp,DksA,SdsN",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10456
b0872,0.1601922281376969,hcr,NADH oxidoreductase,Energy production and conversion,"RpoE,NarP,NsrR,OxyR,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6456
b1797,0.1288531266224852,yeaR,DUF1971 domain-containing protein YeaR,Inorganic ion transport and metabolism,"RpoD,NsrR,NarP,NarL,Fis",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6983
b1796,0.1257016783980152,yoaG,DUF1869 domain-containing protein YoaG,Function unknown,"RpoD,NsrR,NarP,NarL,Fis",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6982
b1475,0.0935855914016955,fdnH,formate dehydrogenase N subunit beta,Energy production and conversion,"RpoD,NarP,NarL,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11228
b4039,0.0889420307589204,ubiC,chorismate lyase,Coenzyme transport and metabolism,"RpoD,YeiE,Fnr,IHF,NarL,ArcA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11369
b1476,0.0885006511591007,fdnI,formate dehydrogenase N subunit gamma,Energy production and conversion,"RpoD,NarP,NarL,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11229
b0033,0.0866079908109731,carB,carbamoyl phosphate synthetase subunit beta,Nucleotide transport and metabolism,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10135
