locus,gene_weight,gene_name,gene_product,cog,regulator,purR,link
STM4176,0.23941328180000002,purH,phosphoribosylaminoimidazolecarboxamide formyltransferase,Nucleotide transport and metabolism,"phoP,purR,rbsR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4176
STM3747,0.2334114404,yicE,putative NCS2 family purine/xanthine transport protein,Nucleotide transport and metabolism,purR,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3747
STM1883,0.2269146528,purT,phosphoribosylglycinamide formyltransferase 2,Nucleotide transport and metabolism,purR,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1883
STM2499,0.22394679320000002,purM,phosphoribosylaminoimidazole synthetase,Nucleotide transport and metabolism,"fnr,lrp,purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2499
STM4175,0.21071315170000002,purD,phosphoribosylglycinamide synthetase,Nucleotide transport and metabolism,"phoP,purR,rbsR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4175
STM2565,0.20573073,purG,phosphoribosylformylglycinamidine synthetase,Nucleotide transport and metabolism,"purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2565
STM2487,0.19660445040000002,purC,phosphoribosylaminoimidazole-succinocarboxamide synthetase,Nucleotide transport and metabolism,"purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2487
STM0534,0.18861598340000002,purE,phosphoribosylaminoimidazole carboxylase %3D AIR carboxylase%2C catalytic subunit,Nucleotide transport and metabolism,"purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0534
STM2362,0.171013099,purF,amidophosphoribosyltransferase,Nucleotide transport and metabolism,"argR,purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2362
STM4268,0.16995267960000002,yjcD,putative xanthine/uracil permease family,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4268
STM2363,0.1660927733,cvpA,membrane protein required for colicin V production,Function unknown,"argR,purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2363
STM0533,0.1623288852,purK,phosphoribosylaminoimidazole carboxylase %3D AIR carboxylase%2C CO(2)-fixing subunit,Nucleotide transport and metabolism,"purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0533
STM2500,0.1301401052,purN,polyphosphate kinase,Nucleotide transport and metabolism,"fnr,lrp,purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2500
STM3633,0.113854914,STM3633,putative bacterial regulatory protein,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3633
STM3333,0.0978937681,STM3333,putative purine-cytosine permease,Nucleotide transport and metabolism,"nac,purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3333
STM3851,0.0931066834,yieG,putative xanthine/uracil permeases family,Function unknown,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3851
STM1430,0.0918301185,purR,transcriptional repressor for pur regulon%2C glyA%2C glnB%2C prsA%2C speA (GalR/LacI family),Transcription,"fur,purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1430
STM1232,0.0907316499,purB,adenylosuccinate lyase,Nucleotide transport and metabolism,"purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1232
STM0066,0.0845550874,carA,carbamoyl-phosphate synthetase%2C glutamine-hydrolysing small subunit,Nucleotide transport and metabolism,"arcA,argR,fis,ihf,pepA,purR,rpoD,rutR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0066
STM3054,0.0806722832,gcvH,glycine cleavage complex protein H,Amino acid transport and metabolism,"crp,fnr,gadX,gcvA,lrp,nac,purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3054
STM3055,0.07536910320000001,gcvT,glycine cleavage complex protein T,Amino acid transport and metabolism,"crp,fnr,gadX,gcvA,lrp,nac,purR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3055
STM3053,0.0751808558,gcvP,glycine cleavage complex protein P,Amino acid transport and metabolism,"crp,fnr,gadX,gcvA,lrp,nac,purR,rpoD,ybiH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3053
STM1428,-0.08044541420000001,ydhC,putative MFS family transport protein,Amino acid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1428
