locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,PmrA,link
PA4773,0.211046586,PA4773,,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4773&e1=1&assembly=complete
PA3555,0.208795384,arnD,,4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,Carbohydrate transport and metabolism,PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3555&e1=1&assembly=complete
PA3556,0.195382825,arnT,,4-amino-4-deoxy-L-arabinose lipid A transferase,Cell wall/membrane/envelope biogenesis,PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3556&e1=1&assembly=complete
PA3557,0.19444671400000002,arnE,,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE,"Intracellular trafficking, secretion, and vesicular transport",PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3557&e1=1&assembly=complete
PA4774,0.189792288,PA4774,,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4774&e1=1&assembly=complete
PA3558,0.18690293,arnF,,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF,"Intracellular trafficking, secretion, and vesicular transport",PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3558&e1=1&assembly=complete
PA3559,0.186225902,PA3559,,nucleotide sugar dehydrogenase,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3559&e1=1&assembly=complete
PA3554,0.18512894900000001,arnA,,bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase,Lipid transport and metabolism,PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3554&e1=1&assembly=complete
PA3553,0.181178006,arnC,,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,Cell wall/membrane/envelope biogenesis,PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3553&e1=1&assembly=complete
PA3552,0.165286969,arnB,,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,Cell wall/membrane/envelope biogenesis,PmrA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3552&e1=1&assembly=complete
