locus,gene_weight,gene_name,gene_product,cog,operon,regulator,DegU,link
BSU_02785,0.19791646866940207,BSU_02785,hypothetical protein,No COG annotation,Op212,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02785
BSU_02780,0.18233286052306424,ycdA,lipoprotein involved in swarming behaviour,Function unknown,Op211,"SwrAA;2,Abh,DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02780
BSU_08170,0.14072409459405366,yfjA,conserved hypothetical protein,Function unknown,Op637,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_08170
BSU_39320,0.12637419548215945,yxiB,conserved protein of unknown function,Function unknown,Op3039,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39320
BSU_12180,0.12320683758334305,yjhA,putative lipoprotein,Function unknown,Op953,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12180
BSU_34850,0.12013059688815983,yvcA,putative lipoprotein,No COG annotation,Op2724,"DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34850
BSU_08160,0.11305159733488752,yfjB,putative phage protein,No COG annotation,Op637,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_08160
BSU_31890,0.10664939526380687,yukC,ESX secretion system YukC protein,Function unknown,Op2507,"SigA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_31890
BSU_36210,0.1066342661004458,ywqH,conserved protein of unknown function,Function unknown,Op2819,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_36210
BSU_36200,0.10585852404130937,ywqI,conserved protein of unknown function,Function unknown,Op2818,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_36200
BSU_12190,0.10398012399540668,yjhB,putative ADP-ribose pyrophosphatase,Nucleotide transport and metabolism,Op954,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12190
BSU_34830,0.10330239373119587,yvzA,conserved protein of unknown function,No COG annotation,Op2722,"DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34830
BSU_34840,0.10209864703672797,yvcB,conserved protein of unknown function,No COG annotation,Op2723,"DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34840
BSU_31875,0.1009989832534385,yukAB,ESX secretion system FtsK/SpoIIIE family ATPase,"Cell cycle control, cell division, chromosome partitioning",Op2507,"SigA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_31875
BSU_09630,0.09988367445522682,yhdX,conserved hypothetical protein,No COG annotation,Op745,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_09630
BSU_31860,0.09944232942357227,yueB,ESX secretion system%3B calcium-dependent phage SPP1 attachment site,Function unknown,Op2507,"SigA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_31860
BSU_39310,0.09891655187905757,yxiC,conserved protein of unknown function,Function unknown,Op3038,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39310
BSU_31900,0.09721740145208023,yukD,ESX secretion system YukD protein,Function unknown,Op2507,"SigA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_31900
BSU_31850,0.09548532543141552,yueC,ESX secretion system YueC protein,Function unknown,Op2507,"SigA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_31850
BSU_02710,0.09520253874939044,yczC,putative integral membrane protein of unknown function,Function unknown,Op205,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02710
BSU_31910,0.0946337862050602,yukE,small WGX100 secreted protein (ESX-dependent secretion),Function unknown,Op2507,"SigA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_31910
BSU_08150,0.09231113005817863,yfjC,conserved protein of unknown function,No COG annotation,Op637,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_08150
BSU_36190,0.08724642043300036,rttN,putative ribonuclease toxin,"Replication, recombination and repair",Op2817,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_36190
BSU_39300,0.08303516821361749,rtbD,ribonuclease toxin of the RtbD-RtbE toxin-antitoxin system,Function unknown,Op3037,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39300
BSU_08140,0.08055782573007958,yfjD,putative integral inner membrane protein,Function unknown,Op637,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_08140
BSU_24450,-0.08213147516505849,efp,elongation factor P,"Translation, ribosomal structure and biogenesis",Op1942,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_24450
BSU_27600,-0.10402384974331973,rsh,GTP pyrophosphokinase (RelA/SpoT),Transcription,Op2206,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27600
