locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CueR,ZntR,Zur,link
b1973,0.5263271705,zinT,metal-binding protein ZinT,Function unknown,zinT,"RpoD,OxyR,SoxS,Zur,Fur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7061
b0296,0.4561541884,ykgM,putative ribosomal protein,"Translation, ribosomal structure and biogenesis",ykgMO,"RpoD,Zur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6167
b4506,0.4130966063,ykgO,putative ribosomal protein,"Translation, ribosomal structure and biogenesis",ykgMO,"RpoD,Zur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10434
b1857,0.3029044563,znuA,Zn(2(+)) ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,znuA,"OxyR,RpoS,Zur,OmpR,Nac",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7017
b1178,0.20002477400000002,pliG,inhibitor of g-type lysozyme,Function unknown,pliG,"GlaR,Zur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6615
b1856,0.1685523469,mepM,peptidoglycan DD-endopeptidase MepM,Cell wall/membrane/envelope biogenesis,mepM,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10013
b1974,0.1448635422,yodB,putative cytochrome,Energy production and conversion,yodB,"YeiE,ppGpp,GlaR",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7062
b1858,0.1376933088,znuC,Zn(2(+)) ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,znuCB,"RpoD,OxyR,Zur,ppGpp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7018
b1859,0.1312221215,znuB,Zn(2(+)) ABC transporter membrane subunit,Inorganic ion transport and metabolism,znuCB,"RpoD,OxyR,Zur,ppGpp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12368
b0484,0.07827096210000001,copA,Cu(+) exporting P-type ATPase,Inorganic ion transport and metabolism,copA,"RpoD,OmpR,CueR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6260
b0123,0.0642821211,cueO,cuprous oxidase/multicopper oxidase with role in copper homeostasis,"Secondary metabolites biosynthesis, transport, and catabolism",cueO,"ryhB,CueR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12318
b2106,-0.0656864161,rcnA,Ni(2(+))/Co(2(+)) exporter,"Intracellular trafficking, secretion, and vesicular transport",rcnAB,"RpoD,Fur,RcnR",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7138
b3469,-0.1019275649,zntA,Zn(2(+))/Cd(2(+))/Pb(2(+)) exporting P-type ATPase,Inorganic ion transport and metabolism,zntA,"RpoD,ZntR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12215
