locus,gene_weight,gene_name,gene_product,cog,regulator,RpoN,NtrC,link
b1012,0.3418977751591576,rutA,pyrimidine oxygenase,Nucleotide transport and metabolism,"PhoP,RpoN,NtrC,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6523
b1011,0.3365020133386717,rutB,peroxyureidoacrylate/ureidoacrylate amidohydrolase,"Secondary metabolites biosynthesis, transport, and catabolism","PhoP,NtrC,RpoN,ArcA,RutR,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6522
b1010,0.3228487393325385,rutC,putative aminoacrylate peracid reductase,"Translation, ribosomal structure and biogenesis","PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6521
b1009,0.3030240547709723,rutD,putative aminoacrylate hydrolase,Nucleotide transport and metabolism,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6520
b1008,0.2839636038904237,rutE,putative malonic semialdehyde reductase,Energy production and conversion,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6519
b1007,0.2742095465634043,rutF,flavin reductase,Energy production and conversion,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6518
b1006,0.207468146666205,rutG,pyrimidine:H(+) symporter,Nucleotide transport and metabolism,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6517
b3268,0.1193298477491514,yhdW,putative ABC transporter periplasmic binding protein YhdW,No COG annotation,"NtrC,RpoN,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12834
b3269,0.1025371809056992,yhdX,putative ABC transporter membrane subunit YhdX,Inorganic ion transport and metabolism,"NtrC,RpoN",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12835
b2876,0.0979884760225451,yqeC,uncharacterized protein YqeC,Cell wall/membrane/envelope biogenesis,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7495
b3270,0.0849336828722651,yhdY,putative ABC transporter membrane subunit YhdY,Inorganic ion transport and metabolism,"NtrC,RpoN",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12836
b2875,0.0847941200134891,yqeB,XdhC-CoxI family protein YqeB,"Post-translational modification, protein turnover,and chaperones",Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7494
b1932,0.077366017479076,yedL,putative acetyltransferase YedL,Transcription,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7040
b2310,0.0745418354206523,argT,lysine/arginine/ornithine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,"YcjW,RpoN,gcvB,NtrC,ppGpp,Lrp,ArcA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10072
b0451,0.0647049710528501,amtB,ammonia/ammonium transporter,Inorganic ion transport and metabolism,"RpoN,GadX,Fur,Fnr,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11821
b3446,0.0625596080649294,yrhB,putative heat shock chaperone,Function unknown,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7763
b3271,0.061769190397753,yhdZ,putative ABC transporter ATP-binding subunit YhdZ,Inorganic ion transport and metabolism,"NtrC,RpoN",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12837
b2726,0.0597171665969634,hypA,hydrogenase 3 nickel incorporation protein HypA,Function unknown,"RpoN,NsrR,IHF,FhlA",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10483
b4242,0.0526456764656635,mgtA,Mg(2(+)) importing P-type ATPase,Inorganic ion transport and metabolism,"RpoD,YiaU,ppGpp,PhoP",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12525
b1988,-0.0670786702339283,nac,DNA-binding transcriptional dual regulator Nac,Transcription,"RpoN,Fur,Fnr,NtrC,ppGpp,Nac,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7072
