locus,gene_weight,gene_name,gene_product,COG,operon,regulator,SigB,link
BSU_04400,0.10070944300000001,gsiB,general stress protein,Function unknown,gsiB,"SigI,SigB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU04400
BSU_24770,0.06277134,mgsR,transcriptional regulator,Inorganic ion transport and metabolism,mgsR,"SigB,MgsR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24770
BSU_02110,0.06094093800000001,ybyB,unknown,Function unknown,ybyB,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02110
BSU_31280,-0.060840639,yugU,unknown,Function unknown,yugU->yuzH,"SigE,SigB,SpoIIID",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31280
BSU_39840,-0.062161359000000006,yxbG,unknown,Lipid transport and metabolism,yxbG,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39840
BSU_24000,-0.06312443100000001,bmrU,multidrug resistance protein,Lipid transport and metabolism,bmrU->bmrR,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24000
BSU_11120,-0.063900288,yitT,unknown,Function unknown,yitT->ipi,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11120
BSU_14660,-0.06464054400000001,ykzI,unknown,Function unknown,ykzI,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU14660
BSU_13020,-0.06612907700000001,ykgA,unknown,Amino acid transport and metabolism,ykgA->ykgB,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13020
BSU_19240,-0.066153337,yocK,general stress protein,Signal transduction,yocK,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU19240
BSU_06220,-0.070787757,ydjJ,unknown,No COG category,ydjJ,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06220
BSU_12270,-0.070982104,yjlB,unknown,Function unknown,yjlB->ndh,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU12270
BSU_04180,-0.071532186,ydaC,unknown,"Secondary metabolite biosynthesis, transport, and catabolism",ydaC,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU04180
BSU_35180,-0.071961852,csbA,unknown,Function unknown,csbA,"SigA,SigB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35180
BSU_08510,-0.073420654,yfhF,unknown,Function unknown,yfhF->yfhD,"SigB,SigG,SigF",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08510
BSU_40529,-0.07629582800000001,yyzH,unknown,No COG category,yyzH,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU40529
BSU_06400,-0.076881659,yebE,unknown,Function unknown,yebE->yebG,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06400
BSU_00170,-0.07885984700000001,yaaI,unknown,"Secondary metabolite biosynthesis, transport, and catabolism",yaaI->yaaH,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU00170
BSU_24740,-0.080637741,corA,unknown,Inorganic ion transport and metabolism,corA,"SigB,LexA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24740
BSU_30930,-0.087621931,ytaB,unknown,Signal transduction,ytaB,SigB,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU30930
