locus,gene_weight,gene_name,gene_product,cog,regulator,narL,link
STM2529,-0.0755892276,STM2529,putative anaerobic dimethylsulfoxide reductase,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2529
STM4307,-0.0768258009,STM4307,putative anaerobic dimethyl sulfoxide reductase%2C subunit C,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4307
STM4308,-0.07698590030000001,STM4308,putative component of anaerobic dehydrogenases,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4308
STM2032,-0.07988483860000001,cbiD,synthesis of vitamin B12 adenosyl cobalamide precursor,Nucleotide transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2032
STM4325,-0.08104907010000001,dcuA,Dcu family anaerobic dicarboxylate transport protein,Function unknown,"arcA,crp,fnr,lrp,narL,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4325
STM4342,-0.0832515359,frdB,fumarate reductase,Energy production and conversion,"dcuR,fnr,narL,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4342
STM1498,-0.08769965,STM1498,putative dimethyl sulfoxide reductase,Energy production and conversion,"fnr,nac,narL,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1498
STM2528,-0.09494019170000001,STM2528,putative dimethylsulfoxide reductase,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2528
STM4340,-0.0954089083,frdD,fumarate reductase,Energy production and conversion,"dcuR,fnr,narL,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4340
STM3150,-0.09819000300000001,hypO,putative Ni/Fe hydrogenases%2C small subunit,Energy production and conversion,"arcA,fnr,fur,narL,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3150
STM4341,-0.10241641900000001,frdC,fumarate reductase,Energy production and conversion,"dcuR,fnr,narL,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4341
STM4306,-0.10842331200000001,STM4306,putative anaerobic dimethyl sulfoxide reductase%2C subunit B,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4306
STM0964,-0.10968109620000001,dmsA,anaerobic dimethyl sulfoxide reductase%2C subunit A,Energy production and conversion,"fis,fnr,ihf,modE,nac,narL,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0964
STM3144,-0.11838305830000001,hybF,putative hydrogenase expression/formation protein,Function unknown,"arcA,fnr,fur,narL,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3144
STM3146,-0.1250499242,hybD,putative processing element for hydrogenase-2,Energy production and conversion,"arcA,fnr,fur,narL,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3146
STM3147,-0.1262496808,hybC,hydrogenase-2%2C large subunit,Energy production and conversion,"arcA,fnr,fur,narL,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3147
STM3143,-0.13486755790000002,hybG,hydrogenase-2 operon protein,"Post-translational modification, protein turnover,and chaperones","arcA,fnr,fur,narL,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3143
STM0966,-0.1403025813,dmsC,anaerobic dimethyl sulfoxide reductase%2C subunit C,Function unknown,"fis,fnr,ihf,modE,nac,narL,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0966
STM3145,-0.1408583793,hybE,putative hydrogenase,Energy production and conversion,"arcA,fnr,fur,narL,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3145
STM3148,-0.1689492171,hybB,putative cytochrome Ni/Fe component of hydrogenase-2,Energy production and conversion,"arcA,fnr,fur,narL,rpoD,ybaQ",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3148
STM3149,-0.16901172720000002,hybA,unknown,Energy production and conversion,"arcA,fnr,fur,narL,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3149
