locus,gene_weight,gene_name,gene_product,cog,regulator,link
STM1854,0.14130622340000001,STM1854,putative inner membrane protein,No COG annotation,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1854
STM1246,0.1223976637,pagC,reduced macrophage survival protein,Cell wall/membrane/envelope biogenesis,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1246
STM2082,0.1216401565,rfbP,undecaprenol-phosphate galactosephosphotransferase%2C and,Cell wall/membrane/envelope biogenesis,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2082
STM1485,0.11819073100000001,STM1485,acid shock protein,No COG annotation,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1485
STM2267,0.11614031870000001,ompC,outer membrane protein 1b (ib%3Bc),Cell wall/membrane/envelope biogenesis,"arcA,cpxR,envY,ihf,lrp,ompR,rpoD,yjjQ",https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2267
STM1567,0.10640185890000001,adhP,alcohol dehydrogenase,Function unknown,fur,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1567
STM2081,0.1026585485,gnd,gluconate-6-phosphate dehydrogenase,Coenzyme transport and metabolism,"fnr,fur,gadE,rpoD",https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2081
STM1586,0.1010080108,STM1586,putative periplasmic protein,Function unknown,"arcA,fur,marA",https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1586
STM3321,0.09770496420000001,yhbH,putative sigma N modulation factor,"Translation, ribosomal structure and biogenesis","rpoD,rpoE",https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3321
STM1565,0.0945498172,rpsV,30S ribosomal subunit protein S22,"Translation, ribosomal structure and biogenesis","fis,ihf,ompR,rcsB,rpoS",https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1565
STM2083,0.0917634854,rfbK,phosphomannomutase,Carbohydrate transport and metabolism,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2083
