locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CysB,Cbl,link
b0365,0.3409396471,tauA,taurine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,tauABCD,"YidZ,Cbl,CysB,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6217
b0366,0.3263022921,tauB,taurine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,tauABCD,"Cbl,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6218
b0367,0.30914173570000003,tauC,taurine ABC transporter membrane subunit,Inorganic ion transport and metabolism,tauABCD,"Cbl,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6219
b0368,0.2597365958,tauD,taurine dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",tauABCD,"Cbl,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12423
b0937,0.2489845295,ssuE,NADPH-dependent FMN reductase,Function unknown,ssuEADCB,"RpoD,YqhC,YdhB,YihW,gcvB,Fnr,Cbl,IHF,CysB,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6479
b0936,0.2397287744,ssuA,aliphatic sulfonate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,ssuEADCB,"RpoD,YeiE,Fnr,ppGpp,Cbl,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6478
b3917,0.22868493110000002,sbp,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,Inorganic ion transport and metabolism,sbp,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10929
b0935,0.22073307350000002,ssuD,FMNH2-dependent alkanesulfonate monooxygenase,Energy production and conversion,ssuEADCB,"RpoD,Fnr,Cbl,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6477
b0934,0.18247993510000002,ssuC,aliphatic sulfonate ABC transporter membrane subunit,Inorganic ion transport and metabolism,ssuEADCB,"RpoD,Fnr,Cbl,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6476
b0933,0.1237096939,ssuB,aliphatic sulfonate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,ssuEADCB,"RpoD,Fnr,Cbl,ppGpp,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12358
b1987,0.1187608,cbl,DNA-binding transcriptional activator Cbl,Transcription,cbl,"RpoD,YdcR,NtrC,CysB,Lrp",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b1657,0.0952312508,ydhP,putative transporter YdhP,Amino acid transport and metabolism,ydhP,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6893
b3661,0.0831739294,nlpA,lipoprotein-28,Cell wall/membrane/envelope biogenesis,nlpA,"ppGpp,CsgD,GlaR,gcvB",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10657
b4326,0.0791964492,iraD,anti-adaptor protein IraD%2C inhibitor of sigma(S) proteolysis,Function unknown,ytiCD-idlP-iraD,"RpoD,RpoS,Fnr,CsrA,Lrp,ppGpp,DksA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7923
b3918,0.0785210732,cdh,CDP-diacylglycerol diphosphatase,Lipid transport and metabolism,cdh,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10138
b2505,0.0715553104,yfgH,lipoprotein YfgH,Cell wall/membrane/envelope biogenesis,,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7316
b1920,0.054027535200000004,tcyJ,cystine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,fliAZ-tcyJ,"RpoD,omrA,omrB,H-NS,FliA,CysB,IHF,NsrR,EcpR,SutR,CsgD,FlhDC,gcvB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7039
b2425,-0.0575446199,cysP,thiosulfate/sulfate ABC transporter periplasmic binding protein CysP,Inorganic ion transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10195
