locus,gene_weight,gene_name,gene_product,cog,regulator,ArgP,link
b4024,0.2745344711223322,lysC,aspartate kinase III,Amino acid transport and metabolism,"RpoD,YneJ,ArgP",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10550
b0031,0.2418874806805882,dapB,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,"RpoD,ArgP,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10206
b3324,0.2271435425659383,gspC,Type II secretion system protein GspC,"Intracellular trafficking, secretion, and vesicular transport","RpoD,ppGpp,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7702
b1761,0.1865224010906819,gdhA,glutamate dehydrogenase,Amino acid transport and metabolism,"RpoD,YeiE,gcvB,Fur,Fnr,Crp,Nac,ArgP,ppGpp,Lrp,GlaR,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10372
b4023,0.1503870836852684,yjbD,conserved protein YjbD,Function unknown,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11922
b3325,0.1497084948005448,gspD,Type II secretion system protein GspD,Cell motility,"RpoD,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7703
b3326,0.1274777355667886,gspE,Type II secretion system protein GspE,Cell motility,"RpoD,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7704
b3433,0.1219505579839625,asd,aspartate-semialdehyde dehydrogenase,Amino acid transport and metabolism,"ppGpp,ArgP,sgrS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10088
b2156,0.1110546736130835,lysP,lysine:H(+) symporter,Amino acid transport and metabolism,"RpoD,ArgP,ppGpp,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11337
b3328,0.1080177238484219,gspG,Type II secretion system protein GspG,"Intracellular trafficking, secretion, and vesicular transport","RpoD,SlyA,H-NS,Fur,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7706
b2838,0.1070850679881797,lysA,diaminopimelate decarboxylase,Amino acid transport and metabolism,"RpoD,LysR,ArgP,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10549
b3432,0.1059491445116538,glgB,1%2C4-alpha-glucan branching enzyme,Carbohydrate transport and metabolism,"PhoP,RpoD,YfeD,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10378
b2574,0.0949674235020432,nadB,L-aspartate oxidase,Coenzyme transport and metabolism,"RpoD,YbaQ,NadR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10631
b3431,0.0931337083008784,glgX,limit dextrin alpha-1%2C6-glucohydrolase,Carbohydrate transport and metabolism,"PhoP,RpoD,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10381
b4756,0.0899391393307967,yqiD,protein YqiD,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16750
b3327,0.0873957767623035,gspF,Type II secretion system protein GspF,"Intracellular trafficking, secretion, and vesicular transport","RpoD,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7705
b0166,0.0873499652025097,dapD,tetrahydrodipicolinate succinylase,Amino acid transport and metabolism,"RpoD,ArgP,MarA,Rob,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10207
b0460,0.0840770502227152,hha,hemolysin expression modulating protein,Transcription,"PdhR,RpoD,BasR,CpxR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10439
b1800,0.0838843860088077,dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),Energy production and conversion,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6986
b3744,0.0818731356152392,asnA,asparagine synthetase A,Nucleotide transport and metabolism,"RpoD,AsnC,Lrp,Nac,gcvB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10091
b3430,0.0818562211357689,glgC,glucose-1-phosphate adenylyltransferase,Nucleotide transport and metabolism,"PhoP,RpoD,RpoS,ppGpp,Crp,CsrA,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10379
b0164,0.0817290647019466,yaeI,phosphodiesterase YaeI,Function unknown,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12337
b3429,0.0742862227907865,glgA,glycogen synthase,Nucleotide transport and metabolism,"PhoP,RpoD,RpoS,Crp,CsrA,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10377
b0750,0.0730402433433315,nadA,quinolinate synthase,Nucleotide transport and metabolism,NadR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10630
b0459,0.0715344631058426,maa,maltose O-acetyltransferase,Function unknown,YcjW,False,https://ecocyc.org/gene?orgid=ECOLI&id=G58
b0461,0.0711833336357077,tomB,protein that modulates Hha toxicity,"Replication, recombination and repair","RpoD,PdhR,YdcI,BasR,CpxR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12429
b1566,-0.0856382097314057,flxA,Qin prophage%3B protein FlxA,No COG annotation,"Fis,FliA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6833
