locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
ABUW_3467,0.1516681858,nudH,(di)nucleoside polyphosphate hydrolase,"Replication, recombination and repair",,,
ABUW_0387,0.1372034604,mlaB,anti-sigma factor antagonist,Function unknown,Op218,,
ABUW_2140,0.13266774180000002,ABUW_2140,AAA ATPase family protein,Function unknown,Op1104,,
ABUW_0220,0.1134911455,ABUW_0220,hypothetical protein,No COG annotation,,,
ABUW_4056,0.1085135426,strA,Aminoglycoside phosphotransferase,Nucleotide transport and metabolism,,AbaM,
ABUW_1578,0.1083818549,folB,dihydroneopterin aldolase,Coenzyme transport and metabolism,Op811,,
ABUW_0442,0.10820260670000001,ABUW_0442,hypothetical protein,Function unknown,Op242,,
ABUW_3720,0.1058605927,ABUW_3720,hypothetical protein,No COG annotation,,,
ABUW_2433,0.1000062703,ABUW_2433,KGG domain-containing protein,No COG annotation,,AbaM,
ABUW_3180,0.0885174656,ABUW_3180,two-component system sensor kinase protein,Signal transduction mechanisms,,,
ABUW_3011,0.08845896410000001,ABUW_3011,hypothetical protein,No COG annotation,,,
ABUW_2703,0.0864887989,ABUW_2703,hypothetical protein,No COG annotation,Op1382,,
ABUW_0507,0.0807502568,ABUW_0507,hypothetical protein,Function unknown,Op270,,
ABUW_4047,0.0791874285,ABUW_4047,hypothetical protein,Transcription,,,
ABUW_3540,0.0768992279,rbfA,ribosome-binding factor A,"Translation, ribosomal structure and biogenesis",,,
ABUW_2391,-0.0898155543,ABUW_2391,hypothetical protein,No COG annotation,Op1225,,
ABUW_1302,-0.0974965718,ABUW_1302,hypothetical protein,No COG annotation,Op689,Phage region 4,
ABUW_2370,-0.1071003492,arsR1,transcriptional regulator%2C ArsR family,Transcription,Op1215,,
ABUW_2314,-0.12370360300000001,ABUW_2314,hypothetical protein,No COG annotation,Op1188,,
ABUW_2308,-0.12543567320000001,ABUW_2308,hypothetical protein,No COG annotation,Op1183,,
