locus,gene_weight,gene_name,gene_product,cog,regulator,RpoS,RpoN,NtrC,link
b1488,0.2751470544094088,ddpX,D-alanyl-D-alanine dipeptidase,Cell wall/membrane/envelope biogenesis,"RpoN,RpoS,NtrC",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6782
b1487,0.2395616325344627,ddpA,putative D%2CD-dipeptide ABC transporter periplasmic binding protein,Amino acid transport and metabolism,"RpoN,RpoS,NtrC",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6781
b1748,0.2304178234766853,astC,succinylornithine transaminase,Amino acid transport and metabolism,"RpoD,RpoN,RpoS,ArgR,NtrC,Lrp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6944
b1486,0.2175397151927802,ddpB,putative D%2CD-dipeptide ABC transporter membrane subunit DdpB,Amino acid transport and metabolism,"RpoN,RpoS,NtrC",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6780
b1747,0.207447859624667,astA,arginine N-succinyltransferase,Amino acid transport and metabolism,"RpoD,RpoN,RpoS,ArgR,NtrC",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6943
b1484,0.1801750321109297,ddpD,putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpD,Inorganic ion transport and metabolism,"RpoN,RpoS,NtrC",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6778
b1485,0.1759931830793832,ddpC,putative D%2CD-dipeptide ABC transporter membrane subunit DdpC,Amino acid transport and metabolism,"RpoN,RpoS,NtrC,Nac",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6779
b1746,0.1716045038105478,astD,aldehyde dehydrogenase,Energy production and conversion,"RpoD,RpoN,RpoS,ArgR,NtrC",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6942
b1483,0.1692168083028045,ddpF,putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpF,Inorganic ion transport and metabolism,"RpoN,RpoS,NtrC",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6777
b1745,0.1567998246355093,astB,N-succinylarginine dihydrolase,Amino acid transport and metabolism,"RpoD,RpoN,RpoS,ArgR,NtrC",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6941
b1744,0.1566224564551285,astE,succinylglutamate desuccinylase,Amino acid transport and metabolism,"RpoD,RpoN,RpoS,ArgR,NtrC",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6940
b0451,0.1163939793830996,amtB,ammonia/ammonium transporter,Inorganic ion transport and metabolism,"RpoN,GadX,Fur,Fnr,NtrC",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11821
b3073,0.1104015779717365,patA,putrescine aminotransferase,Coenzyme transport and metabolism,"YfeD,RpoN,RpoS,IHF,Fis,NtrC,Lrp,ppGpp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7596
b1987,0.1077223532606539,cbl,DNA-binding transcriptional activator Cbl,Transcription,"RpoD,YdcR,NtrC,CysB,Lrp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b1596,0.087305032772916,ynfM,putative transporter YnfM,Amino acid transport and metabolism,YidZ,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6854
b1218,0.0872959961898356,chaC,glutathione-specific gamma-glutamylcyclotransferase,Inorganic ion transport and metabolism,"RpoN,GlaR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12403
b0450,0.0788381802527701,glnK,nitrogen regulator GlnK,Transcription,"RpoN,Fur,GadX,Fnr,NtrC,Lrp",False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12191
b4208,0.0739321447009484,cycA,serine/alanine/glycine/cycloserine:H(+)symporter,Amino acid transport and metabolism,"gcvB,Lrp,Nac,ArcA",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12504
