locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS03550,0.16898705412533604,Saci_0743,Saci_0743,hypothetical protein,No arCOG annotation,Op399,,https://www.uniprot.org/uniprot/A0A0U3GVB9
SACI_RS06190,0.16818171970544962,Saci_1295,Saci_1295,hypothetical protein,Function Unknown,Op723,,https://www.uniprot.org/uniprot/A0A0U3FMB2
SACI_RS04830,0.16543017441216065,Saci_1012,Saci_1012,winged helix-turn-helix transcriptional regulator,Transcription,Op530,heat-shock,https://www.uniprot.org/uniprot/A0A0U3HA28
SACI_RS04720,0.16354672994402106,Saci_0988,Saci_0988,hypothetical protein,Function Unknown,Op516,,https://www.uniprot.org/uniprot/A0A0U3HKM9
SACI_RS04630,0.15811573797149953,Saci_0969,Saci_0969,hypothetical protein,Function Unknown,Op508,,https://www.uniprot.org/uniprot/A0A0U2NE93
SACI_RS00980,0.15186518091252055,segB,Saci_0203,hypothetical protein,Function Unknown,Op106,,https://www.uniprot.org/uniprot/A0A0U3FWP0
SACI_RS06580,0.1490723983134097,Saci_1376,Saci_1376,hypothetical protein,Function Unknown,Op761,,https://www.uniprot.org/uniprot/A0A0U3GZA7
SACI_RS05690,0.14742935954261374,arnC,Saci_1193,protein kinase,General Function Prediction Only,Op660,"ArnA,ArnB",https://www.uniprot.org/uniprot/A0A0U3H8R5
SACI_RS05860,0.1461717215642391,pepK,Saci_1229,GntR family transcriptional regulator,Function Unknown,Op683,,https://www.uniprot.org/uniprot/A0A0U3GU98
SACI_RS07110,0.1436217218295027,xerD,Saci_1490,tyrosine-type recombinase/integrase,"Replication, recombination and repair",Op819,,https://www.uniprot.org/uniprot/A0A0U3FJ87
SACI_RS00985,0.1425326909940356,segA,Saci_0204,"ATPase involved in chromosome partitioning ParA family, ParA family protein","Cell cycle control, cell division, chromosome partitioning",Op106,,https://www.uniprot.org/uniprot/A0A0U2NFX3
SACI_RS07175,0.14053146437293934,Saci_1504,Saci_1504,hypothetical protein,Function Unknown,Op827,,https://www.uniprot.org/uniprot/A0A0U2NC14
SACI_RS05390,0.1400054628852794,Saci_1130,Saci_1130,hypothetical protein,Function Unknown,Op615,,https://www.uniprot.org/uniprot/A0A0U3FRW4
SACI_RS06775,0.13990956445396355,cdvB2,Saci_1416,Cell division protein B2,"Cell cycle control, cell division, chromosome partitioning",Op784,,https://www.uniprot.org/uniprot/A0A0U3H164
SACI_RS04635,0.13869338075239632,Saci_0970,Saci_0970,hypothetical protein,Function Unknown,Op509,,https://www.uniprot.org/uniprot/A0A0U3HKQ1
SACI_RS05855,0.13254955932202328,Saci_1228,Saci_1228,"P-loop ATPase superfamily protein, possible HrpA-like helicase",Function Unknown,Op683,,https://www.uniprot.org/uniprot/A0A0U3H1W8
SACI_RS05670,0.13160190237941874,Saci_1189,Saci_1189,FAD-binding oxidoreductase,Energy production and conversion,Op658,,https://www.uniprot.org/uniprot/A0A0U3GIY7
SACI_RS06680,0.12768351796812696,Saci_1397,Saci_1397,hypothetical protein,Function Unknown,Op771,,https://www.uniprot.org/uniprot/A0A0U3H167
SACI_RS02185,0.12324965677976278,cdvB1,Saci_0451,Cell division protein B1,"Cell cycle control, cell division, chromosome partitioning",Op256,,https://www.uniprot.org/uniprot/UPI0000552296
SACI_RS06570,0.12279431221182742,cdvB,Saci_1373,"cell division protein CdvB (Vps2 family, ESCRT-III homolog)","Cell cycle control, cell division, chromosome partitioning",Op760,,https://www.uniprot.org/uniprot/A0A0U3H735
SACI_RS06310,0.12199842509970045,rgy_3,,"reverse gyrase, topR-2 homolog","Replication, recombination and repair",Op733,,https://www.uniprot.org/uniprot/M1I560
SACI_RS05900,0.11976000499894328,Saci_1237,Saci_1237,hypothetical protein,Function Unknown,Op690,,https://www.uniprot.org/uniprot/M1I4Y2
SACI_RS04040,0.11320363942581127,nikR,Saci_0843,type II toxin-antitoxin system ParD family antitoxin,Transcription,Op442,,https://www.uniprot.org/uniprot/A0A0U3F6W8
SACI_RS00685,0.112973574397492,Saci_0144,Saci_0144,MFS transporter,Carbohydrate transport and metabolism,Op80,,https://www.uniprot.org/uniprot/A0A0U3FGK7
