locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoN,NtrC,link
b1010,0.35996279940000003,rutC,putative aminoacrylate peracid reductase,"Translation, ribosomal structure and biogenesis",rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6521
b1011,0.3424149956,rutB,peroxyureidoacrylate/ureidoacrylate amidohydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6522
b1009,0.31424303470000003,rutD,putative aminoacrylate hydrolase,Nucleotide transport and metabolism,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6520
b1012,0.31397834210000003,rutA,pyrimidine oxygenase,Nucleotide transport and metabolism,rutABCDEFG,"PhoP,RpoN,NtrC,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6523
b1008,0.3071366782,rutE,putative malonic semialdehyde reductase,Energy production and conversion,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6519
b1007,0.2910038024,rutF,flavin reductase,Energy production and conversion,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6518
b1006,0.2114659385,rutG,pyrimidine:H(+) symporter,Nucleotide transport and metabolism,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6517
b1487,0.1009023404,ddpA,putative D%2CD-dipeptide ABC transporter periplasmic binding protein,Amino acid transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6781
b1987,0.09428874400000001,cbl,DNA-binding transcriptional activator Cbl,Transcription,cbl,"RpoD,YdcR,NtrC,CysB,Lrp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b1486,0.0874352333,ddpB,putative D%2CD-dipeptide ABC transporter membrane subunit DdpB,Amino acid transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6780
b1488,0.08521037320000001,ddpX,D-alanyl-D-alanine dipeptidase,Cell wall/membrane/envelope biogenesis,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6782
b0451,0.0785276305,amtB,ammonia/ammonium transporter,Inorganic ion transport and metabolism,glnK-amtB,"RpoN,GadX,Fnr,NtrC,Fur",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11821
b2875,0.0644965214,yqeB,XdhC-CoxI family protein YqeB,"Post-translational modification, protein turnover,and chaperones",yqeB,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7494
b1483,0.0644673441,ddpF,putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpF,Inorganic ion transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6777
b2876,0.059723353900000005,yqeC,uncharacterized protein YqeC,Cell wall/membrane/envelope biogenesis,yqeC,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7495
b1484,0.0590108893,ddpD,putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpD,Inorganic ion transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6778
b1485,0.059001308100000004,ddpC,putative D%2CD-dipeptide ABC transporter membrane subunit DdpC,Amino acid transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6779
