locus,gene_weight,gene_name,gene_product,cog,regulator,PurR,UTP,link
b4245,0.4904996261701946,pyrB,aspartate carbamoyltransferase catalytic subunit,Nucleotide transport and metabolism,"Nac,ppGpp,UTP",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10805
b4244,0.4655316362654019,pyrI,aspartate carbamoyltransferase%2C PyrI subunit,Nucleotide transport and metabolism,"Lrp,ppGpp,UTP",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10811
b2497,0.2326761604523854,uraA,hypothetical protein,Nucleotide transport and metabolism,"RpoD,Fnr,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12129
b0336,0.1920437447857682,codB,cytosine transporter,Nucleotide transport and metabolism,"RpoD,PurR,ppGpp,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11327
b0033,0.1893476101734818,carB,carbamoyl phosphate synthetase subunit beta,Nucleotide transport and metabolism,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10135
b0032,0.1879161761231376,carA,carbamoyl phosphate synthetase subunit alpha,Nucleotide transport and metabolism,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF,ArcA",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10134
b4243,0.1394536132945435,ridA,enamine/imine deaminase%2C redox regulated chaperone,"Translation, ribosomal structure and biogenesis",Lrp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7877
b0337,0.1385721803628138,codA,cytosine/isoguanine deaminase,Nucleotide transport and metabolism,"RpoD,PurR,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11326
b2498,0.1150210129505375,upp,uracil phosphoribosyltransferase,Nucleotide transport and metabolism,"RpoD,Fnr,ppGpp,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11332
b0034,0.1074054749021888,caiF,DNA-binding transcriptional activator CaiF,Transcription,"RpoD,YdcN,H-NS,Fnr,Crp,NarL,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6088
b0945,0.0953211600692551,pyrD,dihydroorotate dehydrogenase%2C type 2,Nucleotide transport and metabolism,"RpoD,PurR,Fis,ppGpp",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10807
b4246,0.0915091706769044,pyrL,pyrBI operon leader peptide,Nucleotide transport and metabolism,"ArgR,Nac,ppGpp,UTP",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11279
b1062,0.0770385310321961,pyrC,dihydroorotase,Nucleotide transport and metabolism,"RpoD,ppGpp,PurR,Fur",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10806
