locus,gene_weight,gene_name,gene_product,COG,operon,regulator,cysB,link
b2425,0.25009687874000003,cysP,sulfate / thiosulfate ABC transporter - periplasmic binding protein CysP,Inorganic ion transport and metabolism,cysPUWAM,"cysB,h-NS,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10195
b2752,0.238254515947,cysD,"sulfate adenylyltransferase, CysD subunit",Inorganic ion transport and metabolism,cysDNC,"cysB,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10186
b2764,0.23392962014000002,cysJ,"sulfite reductase, flavoprotein subunit",Inorganic ion transport and metabolism,cysJIH,"cysB,ihf,rpoD,yafC,yeiE",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10191
b2424,0.23129111315099998,cysU,sulfate / thiosulfate ABC transporter - membrane subunit,Inorganic ion transport and metabolism,cysPUWAM,"cysB,h-NS,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10197
b1287,0.212130205854,yciW,predicted oxidoreductase,Function unknown,yciW,"cysB,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6640
b2763,0.204021975988,cysI,"sulfite reductase, hemoprotein subunit",Energy production and conversion,cysJIH,"cysB,ihf,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10190
b2423,0.199604497339,cysW,sulfate / thiosulfate ABC transporter - membrane subunit,Inorganic ion transport and metabolism,cysPUWAM,"cysB,h-NS,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10198
b2751,0.186811507304,cysN,"sulfate adenylyltransferase, CysN subunit",Inorganic ion transport and metabolism,cysDNC,"cysB,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10194
b2750,0.177804128077,cysC,adenylylsulfate kinase,Inorganic ion transport and metabolism,cysDNC,"cysB,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10185
b2013,0.17298123317000005,yeeE,inner membrane protein YeeE,Function unknown,yeeED,lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11895
b2422,0.17058561811,cysA,sulfate / thiosulfate ABC transporter - ATP binding subunit,Inorganic ion transport and metabolism,cysPUWAM,"cysB,h-NS,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10183
b2762,0.160717635163,cysH,3'-phospho-adenylylsulfate reductase,Inorganic ion transport and metabolism,cysJIH,"cysB,hypT,ihf,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10189
b2012,0.153065915036,yeeD,conserved protein,"Posttranslational modification, protein turnover, chaperones",yeeED,lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11894
b1729,0.147789329584,ydjN,cystine / cysteine:cation symporter,Function unknown,tcyP,cysB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6934
b3917,0.137979106934,sbp,sulfate / thiosulfate ABC transporter - periplasmic binding protein Sbp,Inorganic ion transport and metabolism,sbp,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10929
b1987,0.123162752965,cbl,Cbl DNA-binding transcriptional activator,Transcription,cbl,"cysB,ntrC,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b2414,0.116958338028,cysK,<i>O</i>-acetylserine sulfhydrylase A,Amino acid transport and metabolism,cysK,"cysB,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10192
b0828,0.07848568971039999,iaaA,IaaA,Amino acid transport and metabolism,iaaA-gsiABCD,arcA,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12407
b0829,0.0778972801738,gsiA,glutathione ABC transporter - ATP binding subunit,Function unknown,iaaA-gsiABCD,arcA,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6429
b2421,0.0774580594502,cysM,cysteine synthase B,Amino acid transport and metabolism,cysPUWAM,"cysB,h-NS,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10193
b1920,0.07264525403760001,fliY,cystine/cysteine ABC transporter - periplasmic binding protein,Amino acid transport and metabolism,fliAZ-tcyJ,"csgD,cysB,fliA,h-NS,ihf,matA,nsrR,rpoD,sutR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7039
