locus,gene_weight,gene_name,gene_product,cog,regulator,RcsAB,link
b2053,0.2527973723416289,gmd,GDP-mannose 4%2C6-dehydratase,Nucleotide transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11787
b2052,0.237312204774423,fcl,GDP-L-fucose synthase,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11788
b2054,0.2209877145343003,wcaF,putative acyl transferase,Function unknown,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7099
b2062,0.2188360209937726,wza,outer membrane polysaccharide export protein Wza,Cell wall/membrane/envelope biogenesis,"RpoD,RpoE,RcsAB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7107
b2055,0.2184650680022127,wcaE,putative colanic acid biosynthesis glycosyl transferase,Function unknown,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7100
b2051,0.2150371947358557,gmm,GDP-mannose mannosyl hydrolase,Nucleotide transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11789
b2061,0.2127046785689623,wzb,protein-tyrosine phosphatase,Signal transduction mechanisms,"RpoD,RpoE,RcsAB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7106
b2059,0.2090895178558474,wcaA,putative colanic acid biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,"RpoD,RcsAB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7104
b2060,0.2033675338322148,wzc,protein-tyrosine kinase Wzc,"Cell cycle control, cell division, chromosome partitioning","RpoD,RpoE,RcsAB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7105
b2056,0.2030580246826007,wcaD,putative colanic acid polymerase,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7101
b4026,0.2004519740315599,yjbE,uncharacterized protein YjbE,No COG annotation,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11923
b2048,0.1868335025686821,cpsG,phosphomannomutase,Nucleotide transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10162
b2058,0.1837205150665648,wcaB,putative colanic acid biosynthesis acyl transferase,Amino acid transport and metabolism,"RpoD,RcsAB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7103
b2050,0.1834046398398305,wcaI,putative colanic biosynthesis glycosyl transferase,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11790
b2057,0.1734389052738452,wcaC,putative colanic acid biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7102
b2049,0.173111416249732,cpsB,mannose-1-phosphate guanylyltransferase,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10161
b2047,0.165140245534567,wcaJ,undecaprenyl-phosphate glucose phosphotransferase,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7098
b4027,0.1572453539166443,yjbF,lipoprotein YjbF,Cell wall/membrane/envelope biogenesis,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11924
b2045,0.1478366229426284,wcaK,putative colanic acid biosynthesis pyruvyl transferase,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7096
b2046,0.1433723822987651,wzxC,M-antigen undecaprenyl disphosphate flippase,Function unknown,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7097
