locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rob,MarA,SoxS,link
b3160,0.1938515415,yhbW,putative luciferase-like monooxygenase,Energy production and conversion,yhbW,"ppGpp,MarA,Rob,SoxS",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7654
b1530,0.151814574,marR,DNA-binding transcriptional repressor MarR,Transcription,marRAB,"RpoD,Cra,Crp,CpxR,AcrR,ppGpp,MarA,Rob,Fis,SoxS,MarR,Nac",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11435
b1531,0.1483216138,marA,DNA-binding transcriptional dual regulator MarA,Transcription,marRAB,"RpoD,Cra,Crp,CpxR,AcrR,MarA,Rob,Fis,SoxS,MarR,fnrS,ryhB",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11434
b0850,0.14236830050000002,ybjC,DUF1418 domain-containing protein YbjC,Function unknown,ybjC-nfsA-rimK-ybjN,"RpoD,Rob,MarA,OxyR,SoxS",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12842
b3238,0.1403689052,yhcN,DUF1471 domain-containing stress-induced protein YhcN,Function unknown,yhcN,"ppGpp,Lrp",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7683
b0851,0.1338702676,nfsA,NADPH-dependent nitroreductase NfsA,Energy production and conversion,ybjC-nfsA-rimK-ybjN,"RpoD,Rob,MarA,OxyR,SoxS,SdsN",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11261
b2173,0.1286899295,yeiR,zinc-binding GTPase YeiR,Function unknown,yeiR-lpxT,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12104
b1532,0.1266555789,marB,multiple antibiotic resistance protein,Function unknown,,"RpoD,Cra,Crp,CpxR,AcrR,MarA,Rob,Fis,SoxS,MarR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11599
b0578,0.1239394065,nfsB,NAD(P)H nitroreductase NfsB,Energy production and conversion,nfsB,"RpoD,Rob,MarA,SoxS",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG50005
b2889,0.1197837216,idi,isopentenyl-diphosphate Delta-isomerase,Lipid transport and metabolism,idi,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7508
b2237,0.1170210208,inaA,putative lipopolysaccharide kinase InaA,Signal transduction mechanisms,inaA,"RpoD,MarA,Rob,SoxS,GlaR,gcvB",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11422
b0852,0.1166981826,rimK,ribosomal protein S6 modification protein,Nucleotide transport and metabolism,ybjC-nfsA-rimK-ybjN,"RpoD,Rob,MarA,OxyR,SoxS",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10852
b0127,0.1143363867,yadG,putative ABC transporter ATP-binding protein YadG,Defense mechanisms,yadGH,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12320
b0128,0.109243663,yadH,putative ABC transporter membrane subunit YadH,Defense mechanisms,yadGH,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12321
b3028,0.1067597745,mdaB,NADPH:quinone oxidoreductase MdaB,Function unknown,mdaB,"YafC,MarA,Rob,SoxS",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12656
b1451,0.0937677386,yncD,putative TonB-dependent outer membrane receptor,Inorganic ion transport and metabolism,yncD,ArcA,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6762
