locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PplR1,link
PP_2730,0.245689062891075,PP_2730,putative Lipoprotein,Function unknown,Op1779,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2730&e1=1&assembly=complete
PP_2729,0.2372049068855776,PP_2729,conserved protein of unknown function,Coenzyme transport and metabolism,Op1779,PplR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2729&e1=1&assembly=complete
PP_2731,0.2299053297545326,PP_2731,conserved protein of unknown function,Function unknown,Op1779,TurA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2731&e1=1&assembly=complete
PP_2736,0.2298149646774006,PP_2736,conserved protein of unknown function,Function unknown,Op1781,"PplR1,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2736&e1=1&assembly=complete
PP_2737,0.2206537695887001,PP_2737,Oxidoreductase%2C short-chain dehydrogenase/reductase family,Function unknown,Op1781,"PplR1,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2737&e1=1&assembly=complete
PP_2735,0.2187899476389462,PP_2735,conserved protein of unknown function,Function unknown,Op1781,"PplR1,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2735&e1=1&assembly=complete
PP_2738,0.1990058256007926,PP_2738,putative Transcriptional regulator,Function unknown,Op1781,"PplR1,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2738&e1=1&assembly=complete
PP_2734,0.1969066945349034,cfa,Cyclopropane-fatty-acyl-phospholipid synthase,Cell wall/membrane/envelope biogenesis,Op1780,PplR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2734&e1=1&assembly=complete
PP_2732,0.1910717987432968,PP_2732,conserved protein of unknown function,Function unknown,Op1779,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2732&e1=1&assembly=complete
PP_2728,0.187658882554613,PP_2728,conserved protein of unknown function,Function unknown,Op1778,PplR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2728&e1=1&assembly=complete
PP_2733,0.1849244954487073,PP_2733,conserved membrane protein of unknown function,Function unknown,Op1780,PplR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2733&e1=1&assembly=complete
PP_5535,0.180474911406108,PP_5535,conserved membrane protein of unknown function,"Post-translational modification, protein turnover, and chaperones",Op1644,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5535&e1=1&assembly=complete
PP_2511,0.175182182252126,PP_2511,conserved protein of unknown function,Function unknown,Op1644,PplR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2511&e1=1&assembly=complete
PP_2512,0.1660915605337304,folEA-II,GTP cyclohydrolase 1,Nucleotide transport and metabolism,Op1644,PplR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2512&e1=1&assembly=complete
PP_2727,0.1373463915874306,PP_2727,putative C-factor,Lipid transport and metabolism,Op1777,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2727&e1=1&assembly=complete
PP_0740,0.1315778990233812,pplR1,Transcriptional regulator%2C MerR family,Transcription,Op480,"AlgR,PplR1",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0740&e1=1&assembly=complete
PP_0741,0.1229035245764572,PP_0741,conserved protein of unknown function,Function unknown,Op480,PplR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0741&e1=1&assembly=complete
PP_0742,0.0951517890299794,PP_0742,conserved exported protein of unknown function,Coenzyme transport and metabolism,Op481,PplR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0742&e1=1&assembly=complete
PP_0743,0.0914781591312169,yfcH,conserved protein with NAD(P)-binding Rossmann-fold domain,Function unknown,Op482,PplR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0743&e1=1&assembly=complete
PP_0738,0.089440595856508,PP_0738,conserved protein of unknown function,Function unknown,Op480,PplR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0738&e1=1&assembly=complete
PP_0744,0.0873924218222489,hemH,Ferrochelatase,Coenzyme transport and metabolism,Op482,"AlgR,PplR1",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0744&e1=1&assembly=complete
PP_0739,0.0818418284697474,phr,deoxyribodipyrimidine photolyase,Coenzyme transport and metabolism,Op480,PplR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0739&e1=1&assembly=complete
