locus,gene_weight,gene_name,gene_product,COG,operon,regulator,IHF,PaaX,Crp,link
b1390,0.3275248429,paaC,phenylacetyl-CoA 1%2C2-epoxidase%2C structural subunit,Function unknown,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6711
b1388,0.32643441230000003,paaA,phenylacetyl-CoA 1%2C2-epoxidase%2C monooxygenase subunit,Function unknown,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6709
b1389,0.3094419405,paaB,phenylacetyl-CoA 1%2C2-epoxidase subunit B,"Secondary metabolites biosynthesis, transport, and catabolism",paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6710
b1391,0.3076680462,paaD,phenylacetate degradation protein,"Replication, recombination and repair",paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6712
b1392,0.2582597592,paaE,phenylacetyl-CoA 1%2C2-epoxidase%2C reductase subunit,Energy production and conversion,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6713
b1393,0.2454805655,paaF,putative 2%2C3-dehydroadipyl-CoA hydratase,Lipid transport and metabolism,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6714
b1394,0.2317090386,paaG,putative ring 1%2C2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming),Lipid transport and metabolism,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6715
b1395,0.19364256370000002,paaH,3-hydroxyadipyl-CoA dehydrogenase,Lipid transport and metabolism,paaABCDEFGHIJK,"RpoD,YcjW,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6716
b1387,0.1906571175,paaZ,oxepin-CoA hydrolase/3-oxo-5%2C6-dehydrosuberyl-CoA semialdehyde dehydrogenase,Energy production and conversion,paaZ,"Crp,IHF,PaaX",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6708
b1396,0.17642669,paaI,phenylacetyl-CoA thioesterase,"Secondary metabolites biosynthesis, transport, and catabolism",,"RpoD,Crp,IHF,PaaX,SlyA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6717
b1398,0.06595210480000001,paaK,phenylacetate-CoA ligase,Coenzyme transport and metabolism,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA,spf",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6719
