locus,gene_weight,gene_name,gene_product,cog,operon,regulator,NtrC,RpoN,link
b1012,0.2966334681,rutA,pyrimidine oxygenase,Nucleotide transport and metabolism,rutABCDEFG,"PhoP,RpoN,NtrC,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6523
b1011,0.2816148564,rutB,peroxyureidoacrylate/ureidoacrylate amidohydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6522
b1009,0.2478952063,rutD,putative aminoacrylate hydrolase,Nucleotide transport and metabolism,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6520
b0450,0.2369577958,glnK,nitrogen regulator GlnK,Transcription,glnK-amtB,"RpoN,GadX,NtrC,Fur,Fnr,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12191
b1008,0.2325006021,rutE,putative malonic semialdehyde reductase,Energy production and conversion,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6519
b1010,0.2268047611,rutC,putative aminoacrylate peracid reductase,"Translation, ribosomal structure and biogenesis",rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6521
b0451,0.2110323073,amtB,ammonia/ammonium transporter,Inorganic ion transport and metabolism,glnK-amtB,"RpoN,GadX,Fnr,NtrC,Fur",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11821
b1007,0.2013029296,rutF,flavin reductase,Energy production and conversion,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6518
b1488,0.1798186195,ddpX,D-alanyl-D-alanine dipeptidase,Cell wall/membrane/envelope biogenesis,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6782
b1006,0.1717971385,rutG,pyrimidine:H(+) symporter,Nucleotide transport and metabolism,rutABCDEFG,"PhoP,NtrC,RpoN,ArcA,RutR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6517
b1487,0.15680105800000002,ddpA,putative D%2CD-dipeptide ABC transporter periplasmic binding protein,Amino acid transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6781
b3268_2,0.1415388879,yhdW_2,,No COG Annotation,yhdWXYZ,,False,False,
b1486,0.1397686522,ddpB,putative D%2CD-dipeptide ABC transporter membrane subunit DdpB,Amino acid transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6780
b1483,0.11801560350000001,ddpF,putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpF,Inorganic ion transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6777
b1748,0.1136976205,astC,succinylornithine transaminase,Amino acid transport and metabolism,astCADBE,"RpoD,RpoN,RpoS,ArgR,NtrC,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6944
b1484,0.112420163,ddpD,putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpD,Inorganic ion transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6778
b1747,0.1074743685,astA,arginine N-succinyltransferase,Amino acid transport and metabolism,astCADBE,"RpoD,RpoN,RpoS,ArgR,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6943
b1485,0.10686121280000001,ddpC,putative D%2CD-dipeptide ABC transporter membrane subunit DdpC,Amino acid transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6779
b1987,0.1030977221,cbl,DNA-binding transcriptional activator Cbl,Transcription,cbl,"RpoD,YdcR,NtrC,CysB,Lrp",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b1744,0.09335001200000001,astE,succinylglutamate desuccinylase,Amino acid transport and metabolism,astCADBE,"RpoD,RpoN,RpoS,ArgR,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6940
b1745,0.088560502,astB,N-succinylarginine dihydrolase,Amino acid transport and metabolism,astCADBE,"RpoD,RpoN,RpoS,ArgR,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6941
b1746,0.0869323768,astD,aldehyde dehydrogenase,Energy production and conversion,astCADBE,"RpoD,RpoN,RpoS,ArgR,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6942
b2310,0.0861951759,argT,lysine/arginine/ornithine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,argT-hisJQMP,"YcjW,RpoN,gcvB,NtrC,ppGpp,Lrp,ArcA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10072
b2876,0.0840261764,yqeC,uncharacterized protein YqeC,Cell wall/membrane/envelope biogenesis,yqeC,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7495
b2875,0.0826875329,yqeB,XdhC-CoxI family protein YqeB,"Post-translational modification, protein turnover,and chaperones",yqeB,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7494
b3270,0.0816439992,yhdY,putative ABC transporter membrane subunit YhdY,Inorganic ion transport and metabolism,yhdWXYZ,"NtrC,RpoN",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12836
b4002,0.0795523653,zraP,zinc responsive%2C periplasmic protein with chaperone activity,Cell motility,zraP,"RpoN,ZraR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11918
b3870,0.0713047484,glnA,glutamine synthetase,Nucleotide transport and metabolism,glnALG,"RpoD,RpoN,Crp,NtrC,Fis,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10383
b1932,0.0703351864,yedL,putative acetyltransferase YedL,Transcription,yedL,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7040
b3269,0.0695873322,yhdX,putative ABC transporter membrane subunit YhdX,Inorganic ion transport and metabolism,yhdWXYZ,"NtrC,RpoN",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12835
b1596,0.0645774526,ynfM,putative transporter YnfM,Amino acid transport and metabolism,ynfM,YidZ,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6854
b2726,0.0618897376,hypA,hydrogenase 3 nickel incorporation protein HypA,Function unknown,hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10483
b3271,0.0572427352,yhdZ,putative ABC transporter ATP-binding subunit YhdZ,Inorganic ion transport and metabolism,yhdWXYZ,"NtrC,RpoN",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12837
b3073,0.0570263186,patA,putrescine aminotransferase,Coenzyme transport and metabolism,patA,"YfeD,RpoN,RpoS,IHF,Fis,NtrC,Lrp,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7596
b2870,0.0567243856,ygeW,putative carbamoyltransferase YgeW,Nucleotide transport and metabolism,ygeW,Crp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7489
