locus,gene_weight,gene_name,gene_product,cog,regulator,PrpR,MmsR,link
PA3569,0.2530619189,mmsB,3-hydroxyisobutyrate dehydrogenase,Lipid transport and metabolism,MmsR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3569&e1=1&assembly=complete
PA3570,0.2424145067,mmsA,methylmalonate-semialdehyde dehydrogenase,Energy production and conversion,MmsR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3570&e1=1&assembly=complete
PA0745,0.1456870739,PA0745,enoyl-CoA hydratase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0745&e1=1&assembly=complete
PA0746,0.14359962610000002,PA0746,acyl-CoA dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0746&e1=1&assembly=complete
PA3710,0.1433965037,PA3710,GMC-type oxidoreductase,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3710&e1=1&assembly=complete
PA0744,0.141353949,PA0744,enoyl-CoA hydratase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0744&e1=1&assembly=complete
PA3568,0.1407701399,PA3568,propionyl-CoA synthetase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3568&e1=1&assembly=complete
PA0747,0.1296678145,PA0747,aldehyde dehydrogenase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0747&e1=1&assembly=complete
PA3709,0.10900479930000001,PA3709,major facilitator superfamily transporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3709&e1=1&assembly=complete
PA0797,0.10635272770000001,PA0797,transcriptional regulator,Transcription,PrpR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0797&e1=1&assembly=complete
PA0796,0.1031931841,prpB,2-methylisocitrate lyase,Carbohydrate transport and metabolism,PrpR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0796&e1=1&assembly=complete
PA0795,0.1020652724,prpC,methylcitrate synthase,Energy production and conversion,PrpR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0795&e1=1&assembly=complete
PA3531,0.0902513105,bfrB,bacterioferritin,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3531&e1=1&assembly=complete
PA0793,0.0790904097,PA0793,hypothetical protein,Function unknown,PrpR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0793&e1=1&assembly=complete
PA4139,-0.08697172360000001,PA4139,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4139&e1=1&assembly=complete
