locus,gene_weight,gene_name,gene_product,cog,regulator,lrp,link
STM3567,0.1973528864,livJ,high-affinity branched-chain amino acid transporter,Amino acid transport and metabolism,"lrp,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3567
STM4458,0.1950869043,yjgF,putative translation initiation inhibitor,"Translation, ribosomal structure and biogenesis",,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4458
STM3564,0.15601575010000002,livK,high-affinity branched-chain amino acid transporter,Amino acid transport and metabolism,"lrp,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3564
STM3560,0.1514938982,livF,high-affinity branched-chain amino acid transporter,Inorganic ion transport and metabolism,"lrp,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3560
STM3563,0.1417792923,livH,high-affinity branched-chain amino acid transporter,Amino acid transport and metabolism,"lrp,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3563
STM3561,0.1405950947,livG,high-affinity branched-chain amino acid transporter,Inorganic ion transport and metabolism,"lrp,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3561
STM3562,0.1324986061,livM,high-affinity branched-chain amino acid transporter,"Intracellular trafficking, secretion, and vesicular transport","lrp,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3562
STM1803,-0.1143750924,dadA,D-amino acid dehydrogenase subunit,Amino acid transport and metabolism,"crp,lrp,rpoD,yddM",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1803
STM1452,-0.1153657435,ydgR,putative POT family peptide transport protein,"Intracellular trafficking, secretion, and vesicular transport","gadX,lrp,nac,ompR,rpoD,ydcI",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1452
STM1802,-0.1162054987,dadX,alanine racemase 2,Amino acid transport and metabolism,"crp,lrp,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1802
STM2800,-0.1385155821,STM2800,putative inner membrane protein,"Intracellular trafficking, secretion, and vesicular transport","lrp,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2800
