locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ArcA,HprR,Fur,GadE,Fnr,Crp,Cra,PdhR,CusR,Fis,link
b0429,0.32641390470000003,cyoD,cytochrome bo3 ubiquinol oxidase subunit 4,Energy production and conversion,cyoABCDE,"RpoD,Fis,Fnr,GadE,Crp,HprR,ArcA,Cra,Fur,CusR,PdhR",True,True,True,True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10181
b0430,0.3186250802,cyoC,cytochrome bo3 ubiquinol oxidase subunit 3,Energy production and conversion,cyoABCDE,"RpoD,Fis,Fnr,GadE,Crp,HprR,ArcA,Cra,Fur,CusR,PdhR",True,True,True,True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10180
b0428,0.30702379490000004,cyoE,heme O synthase,Coenzyme transport and metabolism,cyoABCDE,"RpoD,Fis,Fnr,GadE,Crp,HprR,ArcA,Cra,Fur,CusR,PdhR",True,True,True,True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10182
b0431,0.2993658509,cyoB,cytochrome bo3 ubiquinol oxidase subunit 1,Energy production and conversion,cyoABCDE,"RpoD,Fis,Fnr,GadE,Crp,HprR,ArcA,Cra,Fur,CusR,PdhR",True,True,True,True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10179
b0432,0.2533662458,cyoA,cytochrome bo3 ubiquinol oxidase subunit 2,Energy production and conversion,cyoABCDE,"RpoD,YneJ,Fis,GadE,Crp,Fnr,HprR,ArcA,Cra,Fur,CusR,PdhR",True,True,True,True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10178
b2210,0.1117236853,mqo,malate:quinone oxidoreductase,Energy production and conversion,mqo,"Lrp,ArcA",True,False,False,False,False,False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12069
b1014,0.10465547950000001,putA,fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA,Transcription,putA,"RpoD,YeiE,YbaQ,MarA,ppGpp,BasR,PutA,ArcA",True,False,False,False,False,False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10801
b0124,0.1017659145,gcd,quinoprotein glucose dehydrogenase,Carbohydrate transport and metabolism,gcd,"RpoD,Crp,IHF",False,False,False,False,False,True,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10369
b0115,0.0869035725,aceF,pyruvate dehydrogenase%2C E2 subunit,Nucleotide transport and metabolism,pdhR-aceEF-lpd,"RpoD,RpoS,Fnr,NsrR,ArcA,Cra,Crp,PdhR,BtsR",True,False,False,False,True,True,True,True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10025
b0114,0.0778889189,aceE,pyruvate dehydrogenase E1 component,Nucleotide transport and metabolism,pdhR-aceEF-lpd,"RpoD,RpoS,Fnr,NsrR,ArcA,Cra,Crp,PdhR,BtsR",True,False,False,False,True,True,True,True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10024
b0458,0.0742608791,ylaC,putative inner membrane protein,Function unknown,ylaC,"YdcN,YdcR",False,False,False,False,False,False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6253
b3908,0.0723926965,sodA,superoxide dismutase (Mn),Inorganic ion transport and metabolism,sodA,"RpoD,Rob,SoxR,fnrS,ArcA,Fnr,Crp,MarA,IHF,SoxS,Fur,ryhB",True,False,True,False,True,True,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10953
