locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PurR,link
b3654,0.2578973369,xanP,xanthine:H(+) symporter XanP,Nucleotide transport and metabolism,xanP,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11194
b1849,0.2313315069,purT,phosphoribosylglycinamide formyltransferase 2,Nucleotide transport and metabolism,purT,"RpoD,ppGpp,PurR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11809
b2499,0.2135810229,purM,phosphoribosylformylglycinamide cyclo-ligase,Nucleotide transport and metabolism,purMN,"RpoD,ppGpp,PurR,Fnr,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10798
b0523,0.21314965500000002,purE,N(5)-carboxyaminoimidazole ribonucleotide mutase,Nucleotide transport and metabolism,purEK,"RpoD,PurR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10793
b2557,0.19633090220000002,purL,phosphoribosylformylglycinamide synthetase,Nucleotide transport and metabolism,purL,"RpoD,PurR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10797
b0522,0.1913097862,purK,5-(carboxyamino)imidazole ribonucleotide synthase,Nucleotide transport and metabolism,purEK,"RpoD,PurR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10796
b4006,0.1862821013,purH,bifunctional AICAR transformylase/IMP cyclohydrolase,Nucleotide transport and metabolism,purHD,"RpoD,PhoP,ppGpp,PurR,RbsR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10795
b2476,0.1764205912,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism,purC,"RpoD,ppGpp,PurR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10791
b4005,0.1762799184,purD,phosphoribosylamine--glycine ligase,Nucleotide transport and metabolism,purHD,"RpoD,PhoP,ppGpp,PurR,RbsR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10792
b2313,0.1588081184,cvpA,colicin V production protein,Function unknown,cvpA-purF-ubiX,"RpoD,ppGpp,PurR,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10169
b4064,0.15556974980000002,ghxP,guanine/hypoxanthine transporter GhxP,Function unknown,ghxP,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11939
b2312,0.1539190329,purF,amidophosphoribosyltransferase,Nucleotide transport and metabolism,cvpA-purF-ubiX,"RpoD,ppGpp,PurR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10794
b2500,0.1248987726,purN,phosphoribosylglycinamide formyltransferase 1,Nucleotide transport and metabolism,purMN,"RpoD,PurR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10799
b1131,0.0899509538,purB,adenylosuccinate lyase,Nucleotide transport and metabolism,hflD-purB,"RpoD,ppGpp,PurR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11314
b1623,-0.12558231250000002,add,adenosine deaminase,Nucleotide transport and metabolism,add,"RpoD,RbsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10030
b1660,-0.1584013188,ydhC,putative transporter YdhC,Amino acid transport and metabolism,ydhC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12141
