locus,gene_weight,gene_name,gene_product,cog,regulator,CpxR,link
b4484,0.4379103934730705,cpxP,periplasmic protein CpxP,Cell motility,"RpoD,YidZ,CpxR,cpxQ",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7816
b1113,0.2534677896185381,ldtC,L%2CD-transpeptidase YcfS,Cell wall/membrane/envelope biogenesis,"RpoD,CpxR,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6571
b1436,0.2506083769404671,yncJ,protein YncJ,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6747
b1535,0.1916121132537501,dgcZ,diguanylate cyclase DgcZ,Signal transduction mechanisms,"RpoD,CysB,CpxR,CsrA,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11643
b1846,0.1828595852961528,yebE,conserved inner membrane protein YebE,Function unknown,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11806
b1843,0.1712225318336011,yobB,putative carbon-nitrogen hydrolase family protein YobB,Function unknown,"OmpR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7015
b0970,0.1638008077089995,yccA,modulator of FtsH protease,Function unknown,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11113
b1216,0.1430911344713036,chaA,Na(+)/K(+):H(+) antiporter ChaA,Inorganic ion transport and metabolism,"YfeC,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11753
b2597,0.1427345591824476,raiA,stationary phase translation inhibitor and ribosome stability factor,"Translation, ribosomal structure and biogenesis","RpoH,Crp,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11151
b1829,0.1227230395681075,htpX,zinc dependent endoprotease,"Post-translational modification, protein turnover,and chaperones","RpoH,OmpR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10462
b1902,0.1159913255625372,ftnB,putative ferritin-like protein,Inorganic ion transport and metabolism,"RpoD,RpoE,ppGpp,CpxR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7033
b0461,0.1106977697515718,tomB,protein that modulates Hha toxicity,"Replication, recombination and repair","RpoD,PdhR,YdcI,BasR,CpxR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12429
b3088,0.0949537080337897,alx,putative membrane-bound redox modulator Alx,Inorganic ion transport and metabolism,"ppGpp,OmpR,H;,Mn2;",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7607
b0495,0.0944515466080148,ybbA,putative ABC transporter ATP-binding protein YbbA,Inorganic ion transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11657
b1600,0.0938883410971003,mdtJ,multidrug/spermidine efflux pump membrane subunit MdtJ,Inorganic ion transport and metabolism,"RpoD,ppGpp,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6858
b3859,0.0920716795048699,srkA,stress response kinase A,Nucleotide transport and metabolism,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11831
b1601,0.088082464371024,tqsA,autoinducer 2 exporter,Signal transduction mechanisms,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6859
b0460,0.086879248688934,hha,hemolysin expression modulating protein,Transcription,"PdhR,RpoD,BasR,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10439
b0123,0.0852242725689446,cueO,cuprous oxidase/multicopper oxidase with role in copper homeostasis,"Secondary metabolites biosynthesis, transport, and catabolism","ryhB,CueR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12318
b0459,0.084012917673226,maa,maltose O-acetyltransferase,Function unknown,YcjW,False,https://ecocyc.org/gene?orgid=ECOLI&id=G58
