locus,gene_weight,gene_name,gene_product,COG,operon,regulator,PhoP,link
b4242,0.24446650520000002,mgtA,Mg(2(+)) importing P-type ATPase,Inorganic ion transport and metabolism,mgtLA,"RpoD,YiaU,ppGpp,PhoP",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12525
b0877,0.222441991,ybjX,DUF535 domain-containing protein YbjX,Function unknown,ybjX,"Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6460
b0841,0.16474732790000002,ybjG,undecaprenyl pyrophosphate phosphatase,Lipid transport and metabolism,ybjG,PhoP,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6439
b1608,0.1640651723,rstA,DNA-binding transcriptional regulator RstA,Transcription,rstAB,"PhoP,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6864
b1609,0.1514323722,rstB,sensory histidine kinase RstB,Signal transduction mechanisms,rstAB,PhoP,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11233
b0294,0.1487547091,ecpR,DNA-binding transcriptional dual regulator MatA,Transcription,ecpR,"RpoE,EcpR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6165
b1826,0.1445717044,mgrB,PhoQ kinase inhibitor,Function unknown,mgrB,PhoP,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7002
b0557,0.1401511476,borD,DLP12 prophage%3B prophage lipoprotein BorD,Function unknown,borD,"PhoP,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6312
b1160,0.1324623686,iraM,anti-adaptor protein IraM%2C inhibitor of sigma(S) proteolysis,Transcription,,"RpoD,ArcA,Fnr,PhoP",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6600
b0293,0.1289474894,ecpA,common pilus major subunit,Function unknown,ecpA,"RpoD,EcpR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6164
b2259,0.1208775817,pmrD,signal transduction protein PmrD,Function unknown,pmrD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7172
b1505,0.1101156285,ydeT,fimbrial usher domain-containing protein YdeT,Cell motility,ydeTSR,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6795
b1641,0.10475614870000001,slyB,outer membrane lipoprotein SlyB,Cell wall/membrane/envelope biogenesis,slyB,"YidZ,PhoP",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6881
b0113,0.0979832238,pdhR,DNA-binding transcriptional dual regulator PdhR,Transcription,pdhR-aceEF-lpd,"RpoD,RpoS,Fnr,Cra,Crp,PdhR,GlaR,OmpR,BtsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11088
b0565,0.0901432946,ompT,outer membrane protease VII (outer membrane protein 3b),Cell wall/membrane/envelope biogenesis,envY-ompT,"PhoP,omrA,omrB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10673
b4359,0.08743115650000001,opgB,phosphoglycerol transferase I,Cell wall/membrane/envelope biogenesis,opgB,gcvB,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12591
b1130,0.0861590168,phoP,DNA-binding transcriptional dual regulator PhoP,Transcription,phoPQ,"RpoH,PhoP,gcvB,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10731
b1825,0.0861244505,yebO,uncharacterized protein YebO,Function unknown,yebO,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7001
b1816,-0.0927371715,yoaE,putative inner membrane protein,Inorganic ion transport and metabolism,yoaE,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6997
b4751,-0.1244972336,yoaL,protein YoaL,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16745
